K,C,P,T,rf,S,sigmaCall,sigmaPut
1400,239.4,0.8,0.0876712328767123,0.005,1642.81,0.197792,0.266632
1410,229.5,0.9,0.0876712328767123,0.005,1642.81,0.206702,0.260575
1420,219.7,1,0.0876712328767123,0.005,1642.81,0.217102,0.254965
1425,214.8,1.1,0.0876712328767123,0.005,1642.81,0.215951,0.252374
1430,209.8,1.15,0.0876712328767123,0.005,1642.81,0.214424,0.248765
1440,200,1.35,0.0876712328767123,0.005,1642.81,0.21553,0.244326
1450,190.2,1.55,0.0876712328767123,0.005,1642.81,0.21409,0.239013
1460,180.5,1.8,0.0876712328767123,0.005,1642.81,0.214212,0.234167
1470,170.7,2.05,0.0876712328767123,0.005,1642.81,0.209425,0.228461
1475,165.9,2.15,0.0876712328767123,0.005,1642.81,0.209258,0.225325
1480,161,2.3,0.0876712328767123,0.005,1642.81,0.206179,0.222505
1490,151.4,2.65,0.0876712328767123,0.005,1642.81,0.203707,0.216694
1500,141.8,3.1,0.0876712328767123,0.005,1642.81,0.199704,0.21205
1510,132.3,3.6,0.0876712328767123,0.005,1642.81,0.19606,0.207029
1520,122.9,4.1,0.0876712328767123,0.005,1642.81,0.192443,0.200943
1525,118.2,4.4,0.0876712328767123,0.005,1642.81,0.190086,0.198749
1530,113.5,4.8,0.0876712328767123,0.005,1642.81,0.187405,0.196786
1540,104.5,5.6,0.0876712328767123,0.005,1642.81,0.184442,0.191268
1550,95.3,6.5,0.0876712328767123,0.005,1642.81,0.179297,0.186424
1560,86.5,7.6,0.0876712328767123,0.005,1642.81,0.175425,0.18145
1570,77.8,8.9,0.0876712328767123,0.005,1642.81,0.171048,0.176542
1575,73.5,9.6,0.0876712328767123,0.005,1642.81,0.168961,0.174217
1580,69.4,10.4,0.0876712328767123,0.005,1642.81,0.167123,0.171803
1590,61.3,12.3,0.0876712328767123,0.005,1642.81,0.162947,0.167275
1600,53.5,14.3,0.0876712328767123,0.005,1642.81,0.158305,0.162348
1610,46.3,16.8,0.0876712328767123,0.005,1642.81,0.154732,0.157683
1620,39.1,19.6,0.0876712328767123,0.005,1642.81,0.149857,0.152684
1625,35.6,21.2,0.0876712328767123,0.005,1642.81,0.146893,0.150214
1630,32.6,23,0.0876712328767123,0.005,1642.81,0.145408,0.14789
1640,26.5,27,0.0876712328767123,0.005,1642.81,0.140005,0.143511
1650,21.1,31,0.0876712328767123,0.005,1642.81,0.135458,0.137945
1660,16.2,36.2,0.0876712328767123,0.005,1642.81,0.130432,0.13411
1670,12,42,0.0876712328767123,0.005,1642.81,0.125783,0.13001
1675,10.3,45.1,0.0876712328767123,0.005,1642.81,0.123998,0.128121
1680,8.7,48.5,0.0876712328767123,0.005,1642.81,0.12211,0.126788
1690,6,55.7,0.0876712328767123,0.005,1642.81,0.11802,0.123049
1700,4,63.6,0.0876712328767123,0.005,1642.81,0.114985,0.121001
1710,2.55,72.1,0.0876712328767123,0.005,1642.81,0.111994,0.119757
1720,1.55,81.2,0.0876712328767123,0.005,1642.81,0.109582,0.120197
1725,1.25,85.8,0.0876712328767123,0.005,1642.81,0.110547,0.120844
1730,0.95,90.6,0.0876712328767123,0.005,1642.81,0.109768,0.122313
1740,0.55,100.2,0.0876712328767123,0.005,1642.81,0.109359,0.126351
1750,0.4,110,0.0876712328767123,0.005,1642.81,0.112317,0.131936
1760,0.25,119.8,0.0876712328767123,0.005,1642.81,0.112993,0.136574
1775,0,134.4,0.0876712328767123,0.005,1642.81,0.112587,0.142873
1800,0,159.3,0.0876712328767123,0.005,1642.81,0.127169,0.160207
1825,0,184.3,0.0876712328767123,0.005,1642.81,0.140227,0.178057
1850,0,209.2,0.0876712328767123,0.005,1642.81,0.155999,0.194949
