K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,352.1,0.25,0.0849315068493151,0.005,1630.48,0.338649,0.346575
1300,327.2,0.35,0.0849315068493151,0.005,1630.48,0.325963,0.332458
1325,302.3,0.5,0.0849315068493151,0.005,1630.48,0.314442,0.319642
1350,277.5,0.7,0.0849315068493151,0.005,1630.48,0.302363,0.306546
1375,252.8,0.95,0.0849315068493151,0.005,1630.48,0.288999,0.292413
1400,228.1,1.3,0.0849315068493151,0.005,1630.48,0.275887,0.278657
1410,218.3,1.45,0.0849315068493151,0.005,1630.48,0.269826,0.272397
1420,208.5,1.6,0.0849315068493151,0.005,1630.48,0.264659,0.266307
1425,203.6,1.75,0.0849315068493151,0.005,1630.48,0.263156,0.264049
1430,198.7,1.85,0.0849315068493151,0.005,1630.48,0.26004,0.261554
1440,188.9,2.05,0.0849315068493151,0.005,1630.48,0.253342,0.254765
1450,179.2,2.35,0.0849315068493151,0.005,1630.48,0.248244,0.249557
1460,169.6,2.7,0.0849315068493151,0.005,1630.48,0.24419,0.244447
1465,164.8,2.85,0.0849315068493151,0.005,1630.48,0.240829,0.241541
1470,160,3,0.0849315068493151,0.005,1630.48,0.238164,0.238424
1475,155.2,3.2,0.0849315068493151,0.005,1630.48,0.236078,0.23552
1480,150.4,3.5,0.0849315068493151,0.005,1630.48,0.232913,0.233173
1485,145.7,3.7,0.0849315068493151,0.005,1630.48,0.230284,0.230543
1490,141,4,0.0849315068493151,0.005,1630.48,0.228097,0.228353
1495,136.3,4.2,0.0849315068493151,0.005,1630.48,0.225599,0.225185
1500,131.6,4.5,0.0849315068493151,0.005,1630.48,0.222812,0.222429
1505,126.9,4.8,0.0849315068493151,0.005,1630.48,0.218537,0.2194
1510,122.3,5.2,0.0849315068493151,0.005,1630.48,0.216447,0.217275
1515,117.7,5.6,0.0849315068493151,0.005,1630.48,0.214006,0.214252
1520,113.1,6,0.0849315068493151,0.005,1630.48,0.213338,0.212009
1525,108.6,6.4,0.0849315068493151,0.005,1630.48,0.208671,0.208911
1530,104.2,6.9,0.0849315068493151,0.005,1630.48,0.20673,0.206487
1535,99.7,7.4,0.0849315068493151,0.005,1630.48,0.203932,0.203707
1540,95.3,7.9,0.0849315068493151,0.005,1630.48,0.201677,0.20103
1545,90.9,8.6,0.0849315068493151,0.005,1630.48,0.199031,0.198838
1550,86.7,9.3,0.0849315068493151,0.005,1630.48,0.197219,0.196237
1555,82.4,10,0.0849315068493151,0.005,1630.48,0.194573,0.194022
1560,78.2,10.7,0.0849315068493151,0.005,1630.48,0.191901,0.191006
1565,74,11.5,0.0849315068493151,0.005,1630.48,0.189177,0.188679
1570,69.9,12.4,0.0849315068493151,0.005,1630.48,0.186722,0.185902
1575,65.8,13.3,0.0849315068493151,0.005,1630.48,0.183812,0.183025
1580,61.8,14.3,0.0849315068493151,0.005,1630.48,0.181104,0.180348
1585,57.9,15.4,0.0849315068493151,0.005,1630.48,0.178547,0.178131
1590,54.1,16.6,0.0849315068493151,0.005,1630.48,0.176095,0.175392
1595,50.4,17.8,0.0849315068493151,0.005,1630.48,0.173412,0.172732
1600,46.8,19.2,0.0849315068493151,0.005,1630.48,0.171057,0.170398
1605,43.3,20.6,0.0849315068493151,0.005,1630.48,0.168412,0.167771
1610,39.8,22.2,0.0849315068493151,0.005,1630.48,0.165458,0.16511
1615,36.5,23.8,0.0849315068493151,0.005,1630.48,0.162994,0.162382
1620,33.3,25.6,0.0849315068493151,0.005,1630.48,0.160155,0.159824
1625,30.3,27.5,0.0849315068493151,0.005,1630.48,0.157722,0.156859
1630,27.3,29.5,0.0849315068493151,0.005,1630.48,0.154848,0.15426
1635,24.5,31.8,0.0849315068493151,0.005,1630.48,0.152039,0.151723
1640,21.9,34,0.0849315068493151,0.005,1630.48,0.14953,0.148944
1645,19.4,36.4,0.0849315068493151,0.005,1630.48,0.147025,0.146986
1650,17.1,39,0.0849315068493151,0.005,1630.48,0.144779,0.144181
1655,14.9,41.8,0.0849315068493151,0.005,1630.48,0.142212,0.142469
1660,12.9,44.8,0.0849315068493151,0.005,1630.48,0.140175,0.140147
