K,C,P,T,rf,S,sigmaCall,sigmaPut
1300,491.7,0.05,0.0849315068493151,0.005,1795.15,0.425787,0.411181
1325,466.7,0.05,0.0849315068493151,0.005,1795.15,0.410285,0.394152
1350,441.8,0.1,0.0849315068493151,0.005,1795.15,0.393629,0.380768
1375,416.9,0.15,0.0849315068493151,0.005,1795.15,0.381605,0.365662
1400,391.9,0.25,0.0849315068493151,0.005,1795.15,0.357903,0.354866
1410,382,0.2,0.0849315068493151,0.005,1795.15,0.357687,0.343057
1420,372,0.25,0.0849315068493151,0.005,1795.15,0.348177,0.33907
1425,367,0.25,0.0849315068493151,0.005,1795.15,0.343441,0.334502
1430,362,0.3,0.0849315068493151,0.005,1795.15,0.338718,0.332272
1440,352.1,0.3,0.0849315068493151,0.005,1795.15,0.336872,0.325325
1450,342.1,0.35,0.0849315068493151,0.005,1795.15,0.327352,0.318242
1460,332.1,0.4,0.0849315068493151,0.005,1795.15,0.321205,0.312917
1465,327.2,0.45,0.0849315068493151,0.005,1795.15,0.319578,0.311864
1470,322.2,0.45,0.0849315068493151,0.005,1795.15,0.314796,0.307224
1475,317.2,0.5,0.0849315068493151,0.005,1795.15,0.310025,0.305872
1480,312.2,0.55,0.0849315068493151,0.005,1795.15,0.308155,0.302766
1485,307.3,0.55,0.0849315068493151,0.005,1795.15,0.306105,0.299594
1490,302.3,0.6,0.0849315068493151,0.005,1795.15,0.301299,0.296358
1495,297.3,0.6,0.0849315068493151,0.005,1795.15,0.299069,0.293061
1500,292.4,0.65,0.0849315068493151,0.005,1795.15,0.296691,0.289708
1505,287.4,0.7,0.0849315068493151,0.005,1795.15,0.291852,0.2863
1510,282.4,0.75,0.0849315068493151,0.005,1795.15,0.289319,0.284074
1515,277.5,0.8,0.0849315068493151,0.005,1795.15,0.286665,0.281699
1520,272.5,0.8,0.0849315068493151,0.005,1795.15,0.281795,0.278067
1525,267.6,0.85,0.0849315068493151,0.005,1795.15,0.281018,0.275477
