K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,427.3,0,0.0657534246575342,0.005,1704.76,0.467404,0.381423
1300,402.3,0,0.0657534246575342,0.005,1704.76,0.445179,0.370701
1325,377.4,0.05,0.0657534246575342,0.005,1704.76,0.422291,0.356022
1350,352.4,0.05,0.0657534246575342,0.005,1704.76,0.393854,0.33165
1375,327.5,0.1,0.0657534246575342,0.005,1704.76,0.374981,0.325732
1380,322.5,0.1,0.0657534246575342,0.005,1704.76,0.369309,0.320725
1390,312.5,0.15,0.0657534246575342,0.005,1704.76,0.358006,0.310748
1400,302.5,0.15,0.0657534246575342,0.005,1704.76,0.346756,0.305248
1410,292.5,0.2,0.0657534246575342,0.005,1704.76,0.339402,0.306197
1420,282.6,0.25,0.0657534246575342,0.005,1704.76,0.331705,0.301924
1425,277.6,0.25,0.0657534246575342,0.005,1704.76,0.326053,0.296721
1430,272.6,0.25,0.0657534246575342,0.005,1704.76,0.323705,0.291528
1440,262.7,0.3,0.0657534246575342,0.005,1704.76,0.315429,0.28625
1450,252.7,0.35,0.0657534246575342,0.005,1704.76,0.3069,0.280274
1460,242.8,0.4,0.0657534246575342,0.005,1704.76,0.298142,0.273723
1465,237.8,0.45,0.0657534246575342,0.005,1704.76,0.292404,0.272074
1470,232.8,0.5,0.0657534246575342,0.005,1704.76,0.289169,0.268415
1475,227.9,0.5,0.0657534246575342,0.005,1704.76,0.285782,0.264658
1480,222.9,0.6,0.0657534246575342,0.005,1704.76,0.282255,0.263839
1485,217.9,0.6,0.0657534246575342,0.005,1704.76,0.276439,0.258342
1490,213,0.6,0.0657534246575342,0.005,1704.76,0.272754,0.254261
1495,208,0.65,0.0657534246575342,0.005,1704.76,0.268946,0.251429
1500,203.1,0.7,0.0657534246575342,0.005,1704.76,0.265023,0.248397
1505,198.1,0.75,0.0657534246575342,0.005,1704.76,0.260991,0.245181
1510,193.2,0.8,0.0657534246575342,0.005,1704.76,0.258599,0.241798
1515,188.2,0.85,0.0657534246575342,0.005,1704.76,0.252619,0.23826
1520,183.3,0.9,0.0657534246575342,0.005,1704.76,0.2499,0.235564
1525,178.4,1,0.0657534246575342,0.005,1704.76,0.246936,0.232626
1530,173.4,1.05,0.0657534246575342,0.005,1704.76,0.240847,0.229469
1535,168.5,1.15,0.0657534246575342,0.005,1704.76,0.237607,0.226111
1540,163.6,1.25,0.0657534246575342,0.005,1704.76,0.234162,0.223338
1545,158.7,1.3,0.0657534246575342,0.005,1704.76,0.230525,0.219582
1550,153.8,1.5,0.0657534246575342,0.005,1704.76,0.22671,0.217717
1555,148.9,1.6,0.0657534246575342,0.005,1704.76,0.222726,0.214196
1560,144.1,1.75,0.0657534246575342,0.005,1704.76,0.220741,0.211677
1565,139.2,1.9,0.0657534246575342,0.005,1704.76,0.214284,0.208836
1570,134.3,2.05,0.0657534246575342,0.005,1704.76,0.20984,0.205704
1575,129.5,2.2,0.0657534246575342,0.005,1704.76,0.207148,0.202305
1580,124.7,2.35,0.0657534246575342,0.005,1704.76,0.204128,0.199126
1585,119.9,2.55,0.0657534246575342,0.005,1704.76,0.200806,0.196103
1590,115.1,2.8,0.0657534246575342,0.005,1704.76,0.197203,0.193591
1595,110.4,3,0.0657534246575342,0.005,1704.76,0.194085,0.190309
1600,105.6,3.3,0.0657534246575342,0.005,1704.76,0.19064,0.187808
1605,100.9,3.6,0.0657534246575342,0.005,1704.76,0.187555,0.184896
1610,96.3,3.9,0.0657534246575342,0.005,1704.76,0.187212,0.181607
1615,91.6,4.3,0.0657534246575342,0.005,1704.76,0.182692,0.179172
1620,87,4.7,0.0657534246575342,0.005,1704.76,0.180691,0.175706
1625,82.5,5.1,0.0657534246575342,0.005,1704.76,0.176603,0.172946
1630,78,5.6,0.0657534246575342,0.005,1704.76,0.173675,0.170227
1635,73.5,6.1,0.0657534246575342,0.005,1704.76,0.170284,0.16702
1640,69.1,6.7,0.0657534246575342,0.005,1704.76,0.167346,0.16426
1645,64.8,7.3,0.0657534246575342,0.005,1704.76,0.164324,0.161828
1650,60.5,8.1,0.0657534246575342,0.005,1704.76,0.160374,0.15881
1655,56.3,8.8,0.0657534246575342,0.005,1704.76,0.157881,0.155624
1660,52.2,9.7,0.0657534246575342,0.005,1704.76,0.15476,0.152978
1665,48.2,10.7,0.0657534246575342,0.005,1704.76,0.152794,0.150034
1670,44.3,11.7,0.0657534246575342,0.005,1704.76,0.14976,0.147111
1675,40.5,12.8,0.0657534246575342,0.005,1704.76,0.147021,0.144143
1680,36.8,14.1,0.0657534246575342,0.005,1704.76,0.143855,0.141388
1685,33.3,15.5,0.0657534246575342,0.005,1704.76,0.141465,0.13876
1690,29.8,17.1,0.0657534246575342,0.005,1704.76,0.137625,0.135886
1695,26.6,18.8,0.0657534246575342,0.005,1704.76,0.135013,0.133305
1700,23.5,20.7,0.0657534246575342,0.005,1704.76,0.132042,0.130353
1705,20.7,22.8,0.0657534246575342,0.005,1704.76,0.12924,0.128731
1710,18,25,0.0657534246575342,0.005,1704.76,0.126838,0.126034
1715,15.4,27.5,0.0657534246575342,0.005,1704.76,0.123897,0.123683
1720,13.1,29.9,0.0657534246575342,0.005,1704.76,0.121561,0.12042
1725,11,32.8,0.0657534246575342,0.005,1704.76,0.119211,0.118027
1730,9.2,35.9,0.0657534246575342,0.005,1704.76,0.117159,0.11558
1735,7.6,39.2,0.0657534246575342,0.005,1704.76,0.115102,0.113421
1740,6.1,42.8,0.0657534246575342,0.005,1704.76,0.113063,0.111637
1745,5,46.4,0.0657534246575342,0.005,1704.76,0.111947,0.109099
1750,3.9,50.3,0.0657534246575342,0.005,1704.76,0.109783,0.107075
1755,3.1,54.5,0.0657534246575342,0.005,1704.76,0.108961,0.105911
1760,2.45,58.8,0.0657534246575342,0.005,1704.76,0.10809,0.104274
1765,1.95,63.6,0.0657534246575342,0.005,1704.76,0.108036,0.105846
1770,1.55,68.2,0.0657534246575342,0.005,1704.76,0.107804,0.105681
1775,1.2,72.8,0.0657534246575342,0.005,1704.76,0.107524,0.105026
1780,0.95,77.6,0.0657534246575342,0.005,1704.76,0.107976,0.10505
1785,0.7,80.8,0.0657534246575342,0.005,1704.76,0.108526,0.102093
1790,0.6,87,0.0657534246575342,0.005,1704.76,0.110198,0.10175
1795,0.4,90.4,0.0657534246575342,0.005,1704.76,0.109413,0.096773
1800,0.35,96.8,0.0657534246575342,0.005,1704.76,0.111229,0.097758
1805,0.25,100.2,0.0657534246575342,0.005,1704.76,0.112464,0.082047
