K,C,P,T,rf,S,sigmaCall,sigmaPut
1300,498.9,0.05,0.0767123287671233,0.005,1805.81,0.476024,0.440621
1325,473.9,0.05,0.0767123287671233,0.005,1805.81,0.521992,0.422788
1350,449,0.05,0.0767123287671233,0.005,1805.81,0.473821,0.399337
1375,424,0.05,0.0767123287671233,0.005,1805.81,0.417595,0.380941
1400,399.1,0.1,0.0767123287671233,0.005,1805.81,0.397095,0.369456
1410,389.1,0.15,0.0767123287671233,0.005,1805.81,0.416278,0.363393
1420,380,0.15,0.0767123287671233,0.005,1805.81,0.431789,0.357064
1425,374.5,0.2,0.0767123287671233,0.005,1805.81,0.408956,0.355231
1430,369.5,0.2,0.0767123287671233,0.005,1805.81,0.411336,0.353216
1440,360.1,0.25,0.0767123287671233,0.005,1805.81,0.424136,0.346268
1450,350.4,0.25,0.0767123287671233,0.005,1805.81,0.407101,0.339149
1460,339.2,0.3,0.0767123287671233,0.005,1805.81,0.369261,0.334038
1465,334.3,0.3,0.0767123287671233,0.005,1805.81,0.366564,0.329244
1470,330.2,0.35,0.0767123287671233,0.005,1805.81,0.366118,0.3265
1475,325.5,0.35,0.0767123287671233,0.005,1805.81,0.373701,0.323654
1480,319.3,0.35,0.0767123287671233,0.005,1805.81,0.353237,0.318842
1485,315.2,0.4,0.0767123287671233,0.005,1805.81,0.347997,0.315886
1490,310.2,0.4,0.0767123287671233,0.005,1805.81,0.342766,0.312842
1495,304.6,0.4,0.0767123287671233,0.005,1805.81,0.335244,0.308014
1500,299.4,0.6,0.0767123287671233,0.005,1805.81,0.336696,0.311174
1505,295.3,0.6,0.0767123287671233,0.005,1805.81,0.353592,0.306263
1510,289.5,0.6,0.0767123287671233,0.005,1805.81,0.34136,0.302806
1515,285.4,0.65,0.0767123287671233,0.005,1805.81,0.320963,0.29929
1520,280.4,0.65,0.0767123287671233,0.005,1805.81,0.337106,0.295716
1525,275.5,0.7,0.0767123287671233,0.005,1805.81,0.342035,0.292088
1530,269.5,0.7,0.0767123287671233,0.005,1805.81,0.323006,0.288407
1535,264.5,0.75,0.0767123287671233,0.005,1805.81,0.311017,0.284677
1540,260.6,0.75,0.0767123287671233,0.005,1805.81,0.325265,0.280897
1545,254.6,0.85,0.0767123287671233,0.005,1805.81,0.289721,0.277071
1550,249.6,0.9,0.0767123287671233,0.005,1805.81,0.301345,0.274292
1555,245.6,0.95,0.0767123287671233,0.005,1805.81,0.312409,0.271388
1560,240.9,0.95,0.0767123287671233,0.005,1805.81,0.302989,0.266356
1565,235.6,1,0.0767123287671233,0.005,1805.81,0.302414,0.26331
1570,230.8,1.05,0.0767123287671233,0.005,1805.81,0.275336,0.260155
1575,224.8,1.05,0.0767123287671233,0.005,1805.81,0.28253,0.255994
1580,219.9,1.1,0.0767123287671233,0.005,1805.81,0.273124,0.252675
1585,215.4,1.15,0.0767123287671233,0.005,1805.81,0.281103,0.249262
1590,211.1,1.2,0.0767123287671233,0.005,1805.81,0.285088,0.245758
1595,206,1.25,0.0767123287671233,0.005,1805.81,0.25555,0.24217
1600,201.3,1.3,0.0767123287671233,0.005,1805.81,0.246218,0.238499
1605,198.6,1.35,0.0767123287671233,0.005,1805.81,0.233956,0.23475
1610,193.9,1.4,0.0767123287671233,0.005,1805.81,0.236824,0.230924
1615,188.7,1.5,0.0767123287671233,0.005,1805.81,0.230194,0.228349
1620,183.8,1.55,0.0767123287671233,0.005,1805.81,0.223585,0.224334
1625,178.8,1.6,0.0767123287671233,0.005,1805.81,0.221942,0.220251
1630,173.9,1.7,0.0767123287671233,0.005,1805.81,0.218871,0.217276
1635,169,1.75,0.0767123287671233,0.005,1805.81,0.212314,0.213586
1640,164.1,1.85,0.0767123287671233,0.005,1805.81,0.209101,0.209793
1645,159.1,1.9,0.0767123287671233,0.005,1805.81,0.206769,0.205902
1650,154.2,2,0.0767123287671233,0.005,1805.81,0.203226,0.20241
1655,149.3,2.1,0.0767123287671233,0.005,1805.81,0.199554,0.198785
1660,144.4,2.25,0.0767123287671233,0.005,1805.81,0.195758,0.195483
1665,139.5,2.35,0.0767123287671233,0.005,1805.81,0.190104,0.19202
1670,134.7,2.45,0.0767123287671233,0.005,1805.81,0.186981,0.187992
1675,130,2.6,0.0767123287671233,0.005,1805.81,0.186779,0.184638
1680,125,2.75,0.0767123287671233,0.005,1805.81,0.180168,0.181105
1685,120.1,2.9,0.0767123287671233,0.005,1805.81,0.176498,0.177757
1690,115.3,3,0.0767123287671233,0.005,1805.81,0.174703,0.173192
1695,110.5,3.2,0.0767123287671233,0.005,1805.81,0.169971,0.169833
1700,105.8,3.4,0.0767123287671233,0.005,1805.81,0.168822,0.166875
1705,101,3.6,0.0767123287671233,0.005,1805.81,0.164916,0.163065
1710,96.5,3.9,0.0767123287671233,0.005,1805.81,0.163,0.160172
1715,91.9,4.2,0.0767123287671233,0.005,1805.81,0.159142,0.156978
1720,87.2,4.5,0.0767123287671233,0.005,1805.81,0.155552,0.153501
1725,82.4,4.9,0.0767123287671233,0.005,1805.81,0.152632,0.150698
1730,77.9,5.3,0.0767123287671233,0.005,1805.81,0.148925,0.147538
1735,73.4,5.8,0.0767123287671233,0.005,1805.81,0.147028,0.144886
1740,69.7,6.3,0.0767123287671233,0.005,1805.81,0.146991,0.141823
1745,65.3,6.9,0.0767123287671233,0.005,1805.81,0.144035,0.138749
1750,60.9,7.5,0.0767123287671233,0.005,1805.81,0.140657,0.135986
1755,56.5,8.2,0.0767123287671233,0.005,1805.81,0.137208,0.133096
1760,52.5,9,0.0767123287671233,0.005,1805.81,0.134944,0.130376
1765,48.4,9.9,0.0767123287671233,0.005,1805.81,0.13119,0.128065
1770,44.4,10.9,0.0767123287671233,0.005,1805.81,0.12845,0.125156
1775,40.4,12,0.0767123287671233,0.005,1805.81,0.125408,0.122527
1780,36.8,13.2,0.0767123287671233,0.005,1805.81,0.123148,0.12009
1785,33.2,14.6,0.0767123287671233,0.005,1805.81,0.12046,0.117764
1790,29.8,16.1,0.0767123287671233,0.005,1805.81,0.118373,0.115481
1795,26.5,17.8,0.0767123287671233,0.005,1805.81,0.115497,0.113178
1800,23.4,19.3,0.0767123287671233,0.005,1805.81,0.113599,0.110027
1805,20.5,21.3,0.0767123287671233,0.005,1805.81,0.111323,0.108532
1810,17.8,23.5,0.0767123287671233,0.005,1805.81,0.109134,0.105816
1815,15.3,26.1,0.0767123287671233,0.005,1805.81,0.105941,0.104401
1820,13.1,28.8,0.0767123287671233,0.005,1805.81,0.1043,0.102991
1825,11,31.7,0.0767123287671233,0.005,1805.81,0.102375,0.10074
1830,9.2,34.8,0.0767123287671233,0.005,1805.81,0.100992,0.099571
