K,C,P,T,rf,S,sigmaCall,sigmaPut
1585,170.8,1.25,0.0767123287671233,0.005,1759.77,0.121934,0.210368
1590,165.9,1.35,0.0767123287671233,0.005,1759.77,0.144413,0.207736
1595,160.9,1.4,0.0767123287671233,0.005,1759.77,0.140266,0.203636
1600,156,1.5,0.0767123287671233,0.005,1759.77,0.146803,0.200067
1605,151.1,1.55,0.0767123287671233,0.005,1759.77,0.149834,0.196374
1610,146.2,1.65,0.0767123287671233,0.005,1759.77,0.151104,0.193112
1615,141.3,1.75,0.0767123287671233,0.005,1759.77,0.151266,0.189685
1620,136.4,1.85,0.0767123287671233,0.005,1759.77,0.150643,0.185601
1625,131.5,1.95,0.0767123287671233,0.005,1759.77,0.149423,0.182366
1630,126.7,2.05,0.0767123287671233,0.005,1759.77,0.150755,0.178489
1635,121.8,2.2,0.0767123287671233,0.005,1759.77,0.148396,0.175334
1640,117,2.35,0.0767123287671233,0.005,1759.77,0.148157,0.171962
1645,112.2,2.5,0.0767123287671233,0.005,1759.77,0.147218,0.168768
1650,107.4,2.7,0.0767123287671233,0.005,1759.77,0.145713,0.16606
1655,102.6,2.9,0.0767123287671233,0.005,1759.77,0.142849,0.162715
1660,97.8,3.1,0.0767123287671233,0.005,1759.77,0.14134,0.159767
1665,93.1,3.4,0.0767123287671233,0.005,1759.77,0.140068,0.15712
1670,88.5,3.7,0.0767123287671233,0.005,1759.77,0.138914,0.154126
1675,83.8,4,0.0767123287671233,0.005,1759.77,0.135935,0.150807
1680,79.2,4.4,0.0767123287671233,0.005,1759.77,0.134922,0.148187
1685,74.7,4.9,0.0767123287671233,0.005,1759.77,0.133271,0.146105
1690,70.1,5.3,0.0767123287671233,0.005,1759.77,0.130571,0.142655
1695,65.7,5.8,0.0767123287671233,0.005,1759.77,0.128801,0.14011
1700,61.3,6.4,0.0767123287671233,0.005,1759.77,0.12602,0.137488
1705,57,7.1,0.0767123287671233,0.005,1759.77,0.124747,0.135124
1710,52.9,7.8,0.0767123287671233,0.005,1759.77,0.123149,0.132217
1715,48.8,8.7,0.0767123287671233,0.005,1759.77,0.121222,0.130142
1720,44.5,9.6,0.0767123287671233,0.005,1759.77,0.118294,0.127439
1725,40.4,10.6,0.0767123287671233,0.005,1759.77,0.115705,0.125056
1730,36.6,11.8,0.0767123287671233,0.005,1759.77,0.113337,0.122891
1735,33,13.1,0.0767123287671233,0.005,1759.77,0.111378,0.120577
1740,29.9,14.5,0.0767123287671233,0.005,1759.77,0.109432,0.118341
1745,26.6,16.1,0.0767123287671233,0.005,1759.77,0.109056,0.116386
1750,23.9,17.9,0.0767123287671233,0.005,1759.77,0.107169,0.114635
1755,20.9,19.9,0.0767123287671233,0.005,1759.77,0.105108,0.113029
1760,18.1,22.1,0.0767123287671233,0.005,1759.77,0.103605,0.111783
1765,15.6,24.5,0.0767123287671233,0.005,1759.77,0.102086,0.109811
1770,13.2,27.1,0.0767123287671233,0.005,1759.77,0.099979,0.108667
1775,11.1,29.8,0.0767123287671233,0.005,1759.77,0.098879,0.107005
1780,9.2,32.4,0.0767123287671233,0.005,1759.77,0.097142,0.104763
1785,7.6,35.5,0.0767123287671233,0.005,1759.77,0.095916,0.103364
1790,6.2,39.1,0.0767123287671233,0.005,1759.77,0.095005,0.103294
1795,5,42.8,0.0767123287671233,0.005,1759.77,0.094192,0.103156
1800,4.1,46.7,0.0767123287671233,0.005,1759.77,0.094005,0.103017
1805,3.3,50.8,0.0767123287671233,0.005,1759.77,0.093885,0.103381
1810,2.6,55.1,0.0767123287671233,0.005,1759.77,0.0935,0.104502
1815,2.1,59.6,0.0767123287671233,0.005,1759.77,0.09377,0.106226
1820,1.65,64.1,0.0767123287671233,0.005,1759.77,0.093857,0.107779
1825,1.3,68.8,0.0767123287671233,0.005,1759.77,0.094245,0.110359
1830,1.05,73.5,0.0767123287671233,0.005,1759.77,0.094848,0.112474
1835,0.7,78.3,0.0767123287671233,0.005,1759.77,0.09494,0.115414
1840,0.55,82.8,0.0767123287671233,0.005,1759.77,0.096275,0.115825
1845,0.45,87.6,0.0767123287671233,0.005,1759.77,0.097594,0.118669
1850,0.35,92.5,0.0767123287671233,0.005,1759.77,0.099028,0.122067
1855,0.25,97.4,0.0767123287671233,0.005,1759.77,0.100761,0.125265
1860,0.2,102.4,0.0767123287671233,0.005,1759.77,0.102007,0.129206
1865,0.15,107.3,0.0767123287671233,0.005,1759.77,0.10383,0.132042
1870,0.1,112.3,0.0767123287671233,0.005,1759.77,0.106554,0.136754
1875,0.05,117.2,0.0767123287671233,0.005,1759.77,0.107683,0.140363
1900,0.05,142.2,0.0767123287671233,0.005,1759.77,0.122797,0.161836
1925,0.05,167.1,0.0767123287671233,0.005,1759.77,0.138255,0.182245
