K,C,P,T,rf,S,sigmaCall,sigmaPut
1450,229.7,0.7,0.0849315068493151,0.005,1683.99,0.19193,0.249021
1460,220.8,0.8,0.0849315068493151,0.005,1683.99,0.204312,0.243518
1465,215.9,0.8,0.0849315068493151,0.005,1683.99,0.208679,0.239514
1470,210.9,0.9,0.0849315068493151,0.005,1683.99,0.207767,0.238412
1475,206,0.9,0.0849315068493151,0.005,1683.99,0.20644,0.234221
1480,201.1,1,0.0849315068493151,0.005,1683.99,0.207612,0.231763
1485,196.2,1.05,0.0849315068493151,0.005,1683.99,0.207921,0.229111
1490,191.2,1.15,0.0849315068493151,0.005,1683.99,0.205353,0.22628
1495,186.3,1.2,0.0849315068493151,0.005,1683.99,0.202604,0.223284
1500,181.4,1.3,0.0849315068493151,0.005,1683.99,0.201661,0.220839
1505,176.5,1.4,0.0849315068493151,0.005,1683.99,0.202031,0.218179
1510,171.6,1.55,0.0849315068493151,0.005,1683.99,0.200164,0.215945
1515,166.7,1.65,0.0849315068493151,0.005,1683.99,0.198002,0.213461
1520,161.9,1.8,0.0849315068493151,0.005,1683.99,0.196943,0.2113
1525,157,1.9,0.0849315068493151,0.005,1683.99,0.195459,0.208353
1530,152.2,2.05,0.0849315068493151,0.005,1683.99,0.193608,0.205706
1535,147.3,2.25,0.0849315068493151,0.005,1683.99,0.191435,0.203294
1540,142.5,2.45,0.0849315068493151,0.005,1683.99,0.189978,0.20149
1545,137.7,2.65,0.0849315068493151,0.005,1683.99,0.188132,0.198941
1550,132.9,2.85,0.0849315068493151,0.005,1683.99,0.185942,0.196517
1555,128.2,3.1,0.0849315068493151,0.005,1683.99,0.184254,0.193811
1560,123.4,3.3,0.0849315068493151,0.005,1683.99,0.182185,0.191189
1565,118.7,3.6,0.0849315068493151,0.005,1683.99,0.179776,0.188939
1570,114,3.9,0.0849315068493151,0.005,1683.99,0.178385,0.186362
1575,109.3,4.3,0.0849315068493151,0.005,1683.99,0.176551,0.18464
1580,104.7,4.7,0.0849315068493151,0.005,1683.99,0.174899,0.18197
1585,100.1,5.1,0.0849315068493151,0.005,1683.99,0.171173,0.179503
1590,95.6,5.5,0.0849315068493151,0.005,1683.99,0.169312,0.177181
1595,91.1,6,0.0849315068493151,0.005,1683.99,0.167512,0.174951
1600,86.6,6.5,0.0849315068493151,0.005,1683.99,0.165265,0.172326
1605,82.2,7.1,0.0849315068493151,0.005,1683.99,0.163042,0.170172
1610,77.8,7.7,0.0849315068493151,0.005,1683.99,0.161217,0.167589
1615,73.5,8.4,0.0849315068493151,0.005,1683.99,0.1593,0.165364
1620,69.3,9.2,0.0849315068493151,0.005,1683.99,0.157264,0.16305
1625,65.1,9.9,0.0849315068493151,0.005,1683.99,0.155089,0.160276
1630,61,10.8,0.0849315068493151,0.005,1683.99,0.153092,0.158061
1635,57,11.8,0.0849315068493151,0.005,1683.99,0.150886,0.155982
1640,53,12.8,0.0849315068493151,0.005,1683.99,0.148455,0.153367
1645,49.2,13.9,0.0849315068493151,0.005,1683.99,0.146383,0.150829
1650,45.4,15,0.0849315068493151,0.005,1683.99,0.1443,0.148319
1655,41.8,16.4,0.0849315068493151,0.005,1683.99,0.142166,0.146357
1660,38.2,17.8,0.0849315068493151,0.005,1683.99,0.139668,0.143759
1665,34.8,19.1,0.0849315068493151,0.005,1683.99,0.137324,0.140797
1670,31.5,21,0.0849315068493151,0.005,1683.99,0.135082,0.139297
1675,28.4,22.8,0.0849315068493151,0.005,1683.99,0.132894,0.136803
1680,25.4,24.8,0.0849315068493151,0.005,1683.99,0.130715,0.134605
1685,22.5,26.9,0.0849315068493151,0.005,1683.99,0.128246,0.132142
1690,19.8,28.9,0.0849315068493151,0.005,1683.99,0.125969,0.129109
1695,17.3,31.4,0.0849315068493151,0.005,1683.99,0.123318,0.127039
1700,15,34,0.0849315068493151,0.005,1683.99,0.121323,0.12486
1705,12.8,37,0.0849315068493151,0.005,1683.99,0.119168,0.123099
1710,10.9,39.9,0.0849315068493151,0.005,1683.99,0.117111,0.120918
1715,9.2,43.2,0.0849315068493151,0.005,1683.99,0.11516,0.119167
1720,7.6,46.6,0.0849315068493151,0.005,1683.99,0.113011,0.117601
1725,6.3,50.2,0.0849315068493151,0.005,1683.99,0.11135,0.115937
1730,5.1,54,0.0849315068493151,0.005,1683.99,0.109958,0.114938
1735,4.1,57.8,0.0849315068493151,0.005,1683.99,0.108133,0.11321
1740,3.3,61.9,0.0849315068493151,0.005,1683.99,0.107242,0.112408
1745,2.65,65.3,0.0849315068493151,0.005,1683.99,0.105883,0.110429
1750,2.05,69.7,0.0849315068493151,0.005,1683.99,0.105224,0.109785
1755,1.6,74.3,0.0849315068493151,0.005,1683.99,0.103984,0.110526
1760,1.3,78.9,0.0849315068493151,0.005,1683.99,0.104129,0.11045
1765,1,83.6,0.0849315068493151,0.005,1683.99,0.103702,0.110978
1770,0.75,88.4,0.0849315068493151,0.005,1683.99,0.103136,0.112497
1775,0.6,93.2,0.0849315068493151,0.005,1683.99,0.103265,0.11346
1780,0.45,98,0.0849315068493151,0.005,1683.99,0.10621,0.113741
1790,0.3,107.8,0.0849315068493151,0.005,1683.99,0.108796,0.121496
1800,0.15,117.7,0.0849315068493151,0.005,1683.99,0.111357,0.122945
1825,0.05,142.6,0.0849315068493151,0.005,1683.99,0.120216,0.139658
1850,0,167.5,0.0849315068493151,0.005,1683.99,0.132198,0.154417
1875,0,192.5,0.0849315068493151,0.005,1683.99,0.144914,0.17299
