K,C,P,T,rf,S,sigmaCall,sigmaPut
1175,384,0,0.0876712328767123,0.005,1562.17,0.388524,0.336517
1200,359,0,0.0876712328767123,0.005,1562.17,0.36829,0.329188
1225,334.1,0,0.0876712328767123,0.005,1562.17,0.347283,0.316329
1250,309.2,0.1,0.0876712328767123,0.005,1562.17,0.330159,0.304096
1275,284.3,0.2,0.0876712328767123,0.005,1562.17,0.311185,0.288432
1300,259.4,0.35,0.0876712328767123,0.005,1562.17,0.29082,0.276716
1310,249.5,0.4,0.0876712328767123,0.005,1562.17,0.285679,0.270081
1320,239.5,0.5,0.0876712328767123,0.005,1562.17,0.277349,0.264626
1325,234.6,0.5,0.0876712328767123,0.005,1562.17,0.274318,0.260909
1330,229.6,0.55,0.0876712328767123,0.005,1562.17,0.271137,0.258527
1340,219.7,0.65,0.0876712328767123,0.005,1562.17,0.264378,0.253137
1350,209.8,0.75,0.0876712328767123,0.005,1562.17,0.257142,0.24704
1360,199.9,0.85,0.0876712328767123,0.005,1562.17,0.249484,0.240349
1370,190,1,0.0876712328767123,0.005,1562.17,0.243037,0.234937
1375,185.1,1.1,0.0876712328767123,0.005,1562.17,0.238827,0.231924
1380,180.2,1.15,0.0876712328767123,0.005,1562.17,0.237393,0.228729
1390,170.4,1.3,0.0876712328767123,0.005,1562.17,0.229674,0.222558
1400,160.6,1.5,0.0876712328767123,0.005,1562.17,0.222657,0.216298
1410,150.8,1.75,0.0876712328767123,0.005,1562.17,0.216065,0.210418
1420,141.1,2,0.0876712328767123,0.005,1562.17,0.208719,0.20366
1425,136.2,2.15,0.0876712328767123,0.005,1562.17,0.205242,0.200467
1430,131.4,2.35,0.0876712328767123,0.005,1562.17,0.202417,0.197495
1440,121.8,2.8,0.0876712328767123,0.005,1562.17,0.195188,0.191988
1450,112.3,3.2,0.0876712328767123,0.005,1562.17,0.189207,0.185682
1460,102.9,3.8,0.0876712328767123,0.005,1562.17,0.182699,0.180199
1470,93.8,4.5,0.0876712328767123,0.005,1562.17,0.177806,0.174502
1475,89.2,4.9,0.0876712328767123,0.005,1562.17,0.174761,0.171645
1480,84.6,5.3,0.0876712328767123,0.005,1562.17,0.171351,0.168403
1490,75.5,6.2,0.0876712328767123,0.005,1562.17,0.164842,0.162203
1500,66.7,7.4,0.0876712328767123,0.005,1562.17,0.158415,0.15645
1510,58.2,8.9,0.0876712328767123,0.005,1562.17,0.152465,0.151063
1520,50,10.6,0.0876712328767123,0.005,1562.17,0.146521,0.144913
1525,46.1,11.6,0.0876712328767123,0.005,1562.17,0.143829,0.141967
1530,42.1,12.6,0.0876712328767123,0.005,1562.17,0.140189,0.13871
1540,34.9,15.1,0.0876712328767123,0.005,1562.17,0.134275,0.132895
1550,27.8,18.1,0.0876712328767123,0.005,1562.17,0.127675,0.126924
1560,21.5,21.6,0.0876712328767123,0.005,1562.17,0.121565,0.120286
1570,16,25.9,0.0876712328767123,0.005,1562.17,0.115922,0.114352
1575,13.5,28.4,0.0876712328767123,0.005,1562.17,0.11269,0.111375
1580,11.2,31.1,0.0876712328767123,0.005,1562.17,0.109961,0.108603
1590,7.4,37.2,0.0876712328767123,0.005,1562.17,0.104464,0.102949
1600,4.6,43.9,0.0876712328767123,0.005,1562.17,0.099847,0.096401
1610,2.7,51.9,0.0876712328767123,0.005,1562.17,0.095961,0.09172
1620,1.45,60.7,0.0876712328767123,0.005,1562.17,0.093731,0.087723
1625,1.05,65.4,0.0876712328767123,0.005,1562.17,0.093068,0.086707
1630,0.8,70.1,0.0876712328767123,0.005,1562.17,0.093235,0.086076
1640,0.45,79.7,0.0876712328767123,0.005,1562.17,0.094058,0.08142
