K,C,P,T,rf,S,sigmaCall,sigmaPut
1575,188,1.1,0.0876712328767123,0.005,1767.93,0.126658,0.20801
1580,183.1,1.15,0.0876712328767123,0.005,1767.93,0.148022,0.205337
1585,178.1,1.2,0.0876712328767123,0.005,1767.93,0.14412,0.201827
1590,173.2,1.25,0.0876712328767123,0.005,1767.93,0.150869,0.198236
1595,168,1.35,0.0876712328767123,0.005,1767.93,0.142139,0.195822
1600,163.1,1.45,0.0876712328767123,0.005,1767.93,0.146581,0.193213
1605,158.4,1.5,0.0876712328767123,0.005,1767.93,0.153966,0.189867
1610,153.5,1.6,0.0876712328767123,0.005,1767.93,0.154017,0.186942
1615,148.3,1.75,0.0876712328767123,0.005,1767.93,0.147434,0.184363
1620,143.7,1.85,0.0876712328767123,0.005,1767.93,0.15229,0.181108
1625,138.5,2,0.0876712328767123,0.005,1767.93,0.145999,0.177716
1630,133.9,2.15,0.0876712328767123,0.005,1767.93,0.150211,0.175055
1635,128.8,2.3,0.0876712328767123,0.005,1767.93,0.146671,0.172588
1640,124.2,2.45,0.0876712328767123,0.005,1767.93,0.147599,0.169498
1645,119.4,2.65,0.0876712328767123,0.005,1767.93,0.146686,0.166949
1650,114.6,2.85,0.0876712328767123,0.005,1767.93,0.145281,0.164151
1655,109.6,3.1,0.0876712328767123,0.005,1767.93,0.142628,0.161443
1660,105.1,3.3,0.0876712328767123,0.005,1767.93,0.146422,0.158786
1665,100.2,3.6,0.0876712328767123,0.005,1767.93,0.140176,0.156434
1670,96.2,3.9,0.0876712328767123,0.005,1767.93,0.143555,0.153768
1675,91.3,4.2,0.0876712328767123,0.005,1767.93,0.137737,0.150809
1680,86.6,4.6,0.0876712328767123,0.005,1767.93,0.135793,0.148539
1685,82.6,5,0.0876712328767123,0.005,1767.93,0.132413,0.146359
1690,78.1,5.5,0.0876712328767123,0.005,1767.93,0.129747,0.143792
1695,73.6,6,0.0876712328767123,0.005,1767.93,0.128079,0.141267
1700,69.1,6.6,0.0876712328767123,0.005,1767.93,0.126332,0.139123
1705,64.8,7.2,0.0876712328767123,0.005,1767.93,0.12486,0.136899
1710,60.5,7.9,0.0876712328767123,0.005,1767.93,0.123561,0.134567
1715,56.3,8.7,0.0876712328767123,0.005,1767.93,0.121664,0.132425
1720,52.2,9.5,0.0876712328767123,0.005,1767.93,0.120191,0.129781
1725,48.2,10.5,0.0876712328767123,0.005,1767.93,0.118715,0.127846
1730,44.3,11.6,0.0876712328767123,0.005,1767.93,0.116598,0.125629
1735,40.5,12.7,0.0876712328767123,0.005,1767.93,0.115274,0.123389
1740,36.8,14,0.0876712328767123,0.005,1767.93,0.113516,0.121346
1745,33.8,15.5,0.0876712328767123,0.005,1767.93,0.113143,0.119692
1750,30.4,17,0.0876712328767123,0.005,1767.93,0.111202,0.117338
1755,27.2,18.7,0.0876712328767123,0.005,1767.93,0.109748,0.115522
1760,24.7,20.4,0.0876712328767123,0.005,1767.93,0.108466,0.11319
1765,21.8,22.6,0.0876712328767123,0.005,1767.93,0.106825,0.112746
1770,19,24.8,0.0876712328767123,0.005,1767.93,0.105036,0.110975
1775,16.5,27.2,0.0876712328767123,0.005,1767.93,0.103307,0.109315
1780,14.2,29.8,0.0876712328767123,0.005,1767.93,0.101608,0.107491
1785,12.1,32.7,0.0876712328767123,0.005,1767.93,0.100178,0.10831
1790,10,35.7,0.0876712328767123,0.005,1767.93,0.097948,0.106962
1795,8.5,38.9,0.0876712328767123,0.005,1767.93,0.097094,0.105723
1800,6.9,42.4,0.0876712328767123,0.005,1767.93,0.095435,0.104923
1805,5.7,46.2,0.0876712328767123,0.005,1767.93,0.094493,0.104678
1810,4.6,50,0.0876712328767123,0.005,1767.93,0.093799,0.104488
1815,3.8,54.1,0.0876712328767123,0.005,1767.93,0.093524,0.105161
1820,3,57.2,0.0876712328767123,0.005,1767.93,0.092567,0.100578
1825,2.4,61.9,0.0876712328767123,0.005,1767.93,0.092333,0.105668
1830,1.9,65.7,0.0876712328767123,0.005,1767.93,0.092117,0.1031
1835,1.55,70.3,0.0876712328767123,0.005,1767.93,0.092432,0.104401
1840,1.15,74.5,0.0876712328767123,0.005,1767.93,0.091746,0.103246
1845,0.9,79.7,0.0876712328767123,0.005,1767.93,0.092025,0.107623
1850,0.75,84.1,0.0876712328767123,0.005,1767.93,0.092936,0.10697
1855,0.6,89.4,0.0876712328767123,0.005,1767.93,0.093722,0.113924
1860,0.5,94,0.0876712328767123,0.005,1767.93,0.094466,0.113137
1865,0.4,98.9,0.0876712328767123,0.005,1767.93,0.095296,0.115927
1870,0.3,103.7,0.0876712328767123,0.005,1767.93,0.096406,0.123046
1875,0.25,108.3,0.0876712328767123,0.005,1767.93,0.096933,0.125718
1880,0.1,113.3,0.0876712328767123,0.005,1767.93,0.099341,0.129162
1890,0.05,123.2,0.0876712328767123,0.005,1767.93,0.10362,0.136781
1900,0.05,133.2,0.0876712328767123,0.005,1767.93,0.107016,0.144154
1910,0.05,143.8,0.0876712328767123,0.005,1767.93,0.113638,0.158811
1925,0.05,158.1,0.0876712328767123,0.005,1767.93,0.123422,0.163435
1950,0,183.1,0.0876712328767123,0.005,1767.93,0.134101,0.183156
