K,C,P,T,rf,S,sigmaCall,sigmaPut
1325,348.5,0.35,0.0876712328767123,0.005,1681.55,0.318646,0.350121
1350,327.1,0.55,0.0876712328767123,0.005,1681.55,0.354877,0.338201
1375,302.4,0.75,0.0876712328767123,0.005,1681.55,0.337967,0.324515
1380,297.4,0.8,0.0876712328767123,0.005,1681.55,0.334791,0.321939
1390,287.5,0.9,0.0876712328767123,0.005,1681.55,0.326161,0.317522
1400,277.7,1,0.0876712328767123,0.005,1681.55,0.323024,0.311398
1410,267.8,1.15,0.0876712328767123,0.005,1681.55,0.315637,0.306773
1420,257.9,1.3,0.0876712328767123,0.005,1681.55,0.307983,0.301483
1425,253,1.35,0.0876712328767123,0.005,1681.55,0.307094,0.297796
1430,248.1,1.45,0.0876712328767123,0.005,1681.55,0.303025,0.294835
1440,238.3,1.6,0.0876712328767123,0.005,1681.55,0.296081,0.289272
1445,233.4,1.7,0.0876712328767123,0.005,1681.55,0.293117,0.286623
1450,228.5,1.8,0.0876712328767123,0.005,1681.55,0.290017,0.283149
1455,223.6,1.9,0.0876712328767123,0.005,1681.55,0.286789,0.280856
1460,218.7,2,0.0876712328767123,0.005,1681.55,0.283441,0.277758
1465,213.8,2.1,0.0876712328767123,0.005,1681.55,0.279977,0.274529
1470,208.9,2.2,0.0876712328767123,0.005,1681.55,0.276404,0.271736
1475,204,2.3,0.0876712328767123,0.005,1681.55,0.272726,0.268243
1480,199.2,2.45,0.0876712328767123,0.005,1681.55,0.27092,0.265157
1485,194.3,2.55,0.0876712328767123,0.005,1681.55,0.26698,0.261925
1490,189.5,2.7,0.0876712328767123,0.005,1681.55,0.263861,0.259032
1495,184.6,2.85,0.0876712328767123,0.005,1681.55,0.260589,0.256423
1500,179.9,3,0.0876712328767123,0.005,1681.55,0.248442,0.253618
1505,175,3.2,0.0876712328767123,0.005,1681.55,0.245227,0.250211
1510,170.2,3.4,0.0876712328767123,0.005,1681.55,0.242693,0.247463
1515,165.4,3.5,0.0876712328767123,0.005,1681.55,0.239943,0.243751
1520,160.7,3.8,0.0876712328767123,0.005,1681.55,0.236227,0.241382
1525,155.9,4,0.0876712328767123,0.005,1681.55,0.234569,0.238772
1530,151.1,4.2,0.0876712328767123,0.005,1681.55,0.231908,0.235265
1535,146.4,4.5,0.0876712328767123,0.005,1681.55,0.229018,0.232886
1540,141.7,4.7,0.0876712328767123,0.005,1681.55,0.226546,0.229019
1545,137,5,0.0876712328767123,0.005,1681.55,0.22261,0.226193
1550,132.3,5.3,0.0876712328767123,0.005,1681.55,0.22085,0.223135
1555,127.9,5.7,0.0876712328767123,0.005,1681.55,0.219848,0.220942
1560,123.1,6.1,0.0876712328767123,0.005,1681.55,0.21477,0.217931
1565,118.7,6.4,0.0876712328767123,0.005,1681.55,0.214156,0.214681
1570,115,6.8,0.0876712328767123,0.005,1681.55,0.212125,0.211679
1575,110.5,7.2,0.0876712328767123,0.005,1681.55,0.2093,0.20888
1580,106,7.7,0.0876712328767123,0.005,1681.55,0.206633,0.205797
1585,101.5,8.2,0.0876712328767123,0.005,1681.55,0.203665,0.203292
1590,97,8.8,0.0876712328767123,0.005,1681.55,0.200407,0.200461
1595,92.6,9.3,0.0876712328767123,0.005,1681.55,0.197651,0.197319
1600,88.3,10,0.0876712328767123,0.005,1681.55,0.194192,0.194631
1605,83.9,10.7,0.0876712328767123,0.005,1681.55,0.191169,0.191961
1610,79.7,11.3,0.0876712328767123,0.005,1681.55,0.188162,0.188582
1615,75.5,12.1,0.0876712328767123,0.005,1681.55,0.185819,0.185893
1620,71.3,13,0.0876712328767123,0.005,1681.55,0.182741,0.183471
1625,67.2,13.8,0.0876712328767123,0.005,1681.55,0.17992,0.180315
1630,63.2,14.9,0.0876712328767123,0.005,1681.55,0.176995,0.17769
1635,59.3,15.9,0.0876712328767123,0.005,1681.55,0.174542,0.174924
1640,55.4,16.9,0.0876712328767123,0.005,1681.55,0.171623,0.17171
1645,51.6,18.1,0.0876712328767123,0.005,1681.55,0.168807,0.168897
1650,48,19.4,0.0876712328767123,0.005,1681.55,0.165778,0.166146
1655,44.4,20.8,0.0876712328767123,0.005,1681.55,0.164136,0.163421
1660,40.9,22.3,0.0876712328767123,0.005,1681.55,0.160323,0.160687
1665,37.5,23.9,0.0876712328767123,0.005,1681.55,0.157546,0.157909
1670,34.3,25.7,0.0876712328767123,0.005,1681.55,0.155468,0.155573
1675,31.2,27.4,0.0876712328767123,0.005,1681.55,0.15224,0.152348
1680,28.2,29.4,0.0876712328767123,0.005,1681.55,0.149381,0.150262
1685,25.5,31.4,0.0876712328767123,0.005,1681.55,0.147366,0.147482
1690,22.8,33.8,0.0876712328767123,0.005,1681.55,0.144883,0.145263
1695,20.2,36.2,0.0876712328767123,0.005,1681.55,0.142154,0.142806
1700,17.8,39.2,0.0876712328767123,0.005,1681.55,0.139673,0.141409
1705,15.6,41.6,0.0876712328767123,0.005,1681.55,0.13743,0.138121
1710,13.6,44.6,0.0876712328767123,0.005,1681.55,0.135146,0.136147
1715,11.7,47.4,0.0876712328767123,0.005,1681.55,0.133099,0.132968
1720,10,50.6,0.0876712328767123,0.005,1681.55,0.130701,0.130568
1725,8.5,54.2,0.0876712328767123,0.005,1681.55,0.128553,0.128746
1730,7.1,57.6,0.0876712328767123,0.005,1681.55,0.126716,0.126226
1735,5.9,61.4,0.0876712328767123,0.005,1681.55,0.124535,0.124011
1740,4.8,65.3,0.0876712328767123,0.005,1681.55,0.122373,0.122223
1745,4,68.4,0.0876712328767123,0.005,1681.55,0.121666,0.120133
1750,3.2,72.9,0.0876712328767123,0.005,1681.55,0.119937,0.120278
1755,2.65,77,0.0876712328767123,0.005,1681.55,0.119461,0.117858
1760,2.1,82,0.0876712328767123,0.005,1681.55,0.117645,0.122136
1765,1.7,86.6,0.0876712328767123,0.005,1681.55,0.117332,0.121696
1770,1.4,90.8,0.0876712328767123,0.005,1681.55,0.116844,0.117044
1775,1.1,95.1,0.0876712328767123,0.005,1681.55,0.116716,0.118357
1780,0.9,99.8,0.0876712328767123,0.005,1681.55,0.117264,0.118089
1785,0.65,104.2,0.0876712328767123,0.005,1681.55,0.116438,0.112814
1790,0.5,109,0.0876712328767123,0.005,1681.55,0.116607,0.110646
1795,0.35,113.8,0.0876712328767123,0.005,1681.55,0.116774,0.108542
1800,0.25,118.7,0.0876712328767123,0.005,1681.55,0.117084,0.107109
1805,0.2,123.6,0.0876712328767123,0.005,1681.55,0.118883,0.103571
1810,0.15,128.5,0.0876712328767123,0.005,1681.55,0.120368,0.094034
1850,0.05,167.2,0.0876712328767123,0.005,1681.55,0.137078,0.128697
1875,0,192.4,0.0876712328767123,0.005,1681.55,0.147811,0.164337
