K,C,P,T,rf,S,sigmaCall,sigmaPut
1175,368.3,0.05,0.0794520547945206,0.005,1544.26,0.523661,0.365017
1200,343.4,0.2,0.0794520547945206,0.005,1544.26,0.49246,0.358412
1225,318.4,0.2,0.0794520547945206,0.005,1544.26,0.459587,0.33541
1250,293.5,0.25,0.0794520547945206,0.005,1544.26,0.426935,0.31511
1270,273.6,0.2,0.0794520547945206,0.005,1544.26,0.402715,0.293793
1275,268.6,0.25,0.0794520547945206,0.005,1544.26,0.397358,0.293691
1280,263.6,0.25,0.0794520547945206,0.005,1544.26,0.390552,0.288329
1290,253.7,0.3,0.0794520547945206,0.005,1544.26,0.37835,0.279952
1300,243.7,0.3,0.0794520547945206,0.005,1544.26,0.366107,0.271384
1310,233.8,0.35,0.0794520547945206,0.005,1544.26,0.353822,0.264562
1320,223.9,0.45,0.0794520547945206,0.005,1544.26,0.342706,0.258948
1325,218.9,0.45,0.0794520547945206,0.005,1544.26,0.335902,0.255064
1330,213.9,0.5,0.0794520547945206,0.005,1544.26,0.330277,0.251089
1340,204,0.55,0.0794520547945206,0.005,1544.26,0.318911,0.244256
1345,199,0.6,0.0794520547945206,0.005,1544.26,0.312078,0.239981
1350,194.1,0.65,0.0794520547945206,0.005,1544.26,0.306323,0.236869
1355,189.1,0.7,0.0794520547945206,0.005,1544.26,0.30053,0.233569
1360,184.2,0.75,0.0794520547945206,0.005,1544.26,0.294696,0.230097
1365,179.2,0.8,0.0794520547945206,0.005,1544.26,0.288822,0.226468
1370,174.3,0.85,0.0794520547945206,0.005,1544.26,0.282908,0.222691
1375,169.3,0.9,0.0794520547945206,0.005,1544.26,0.276952,0.218776
1380,164.4,1,0.0794520547945206,0.005,1544.26,0.270954,0.216474
1385,159.4,1,0.0794520547945206,0.005,1544.26,0.264913,0.211403
1390,154.5,1.1,0.0794520547945206,0.005,1544.26,0.259707,0.20787
1395,149.6,1.15,0.0794520547945206,0.005,1544.26,0.254406,0.20415
1400,144.7,1.25,0.0794520547945206,0.005,1544.26,0.248189,0.200255
1405,139.7,1.35,0.0794520547945206,0.005,1544.26,0.241925,0.196857
1410,134.8,1.4,0.0794520547945206,0.005,1544.26,0.236397,0.19261
1415,129.9,1.5,0.0794520547945206,0.005,1544.26,0.230774,0.18881
1420,125.1,1.65,0.0794520547945206,0.005,1544.26,0.224323,0.185917
1425,120.2,1.75,0.0794520547945206,0.005,1544.26,0.218533,0.181671
1430,115.3,1.9,0.0794520547945206,0.005,1544.26,0.213336,0.178232
1435,110.5,2.05,0.0794520547945206,0.005,1544.26,0.207993,0.174975
1440,105.7,2.25,0.0794520547945206,0.005,1544.26,0.203143,0.171406
1445,100.9,2.45,0.0794520547945206,0.005,1544.26,0.198101,0.167951
1450,96.1,2.65,0.0794520547945206,0.005,1544.26,0.192868,0.164554
1455,91.3,2.9,0.0794520547945206,0.005,1544.26,0.187446,0.161166
1460,86.6,3.2,0.0794520547945206,0.005,1544.26,0.18399,0.158074
1465,81.9,3.5,0.0794520547945206,0.005,1544.26,0.178108,0.154562
1470,77.3,3.8,0.0794520547945206,0.005,1544.26,0.17401,0.151236
1475,72.7,4.2,0.0794520547945206,0.005,1544.26,0.17049,0.148013
1480,68.2,4.7,0.0794520547945206,0.005,1544.26,0.165198,0.144819
1485,63.7,5.1,0.0794520547945206,0.005,1544.26,0.160883,0.141116
1490,59.2,5.7,0.0794520547945206,0.005,1544.26,0.156967,0.138271
1495,54.9,6.3,0.0794520547945206,0.005,1544.26,0.152175,0.13481
1500,50.6,7,0.0794520547945206,0.005,1544.26,0.148057,0.131557
1505,46.3,7.8,0.0794520547945206,0.005,1544.26,0.143752,0.128403
1510,42.4,8.7,0.0794520547945206,0.005,1544.26,0.141272,0.125252
1515,38.4,9.7,0.0794520547945206,0.005,1544.26,0.136712,0.122356
1520,34.6,10.8,0.0794520547945206,0.005,1544.26,0.133081,0.118945
1525,30.9,12.1,0.0794520547945206,0.005,1544.26,0.129589,0.115919
1530,27.3,13.5,0.0794520547945206,0.005,1544.26,0.125839,0.112534
1535,24,15,0.0794520547945206,0.005,1544.26,0.122348,0.109006
1540,20.8,16.8,0.0794520547945206,0.005,1544.26,0.11901,0.106401
1545,17.9,18.8,0.0794520547945206,0.005,1544.26,0.116021,0.103125
1550,15.1,21,0.0794520547945206,0.005,1544.26,0.112409,0.099656
1555,12.6,23.4,0.0794520547945206,0.005,1544.26,0.109569,0.096476
1560,10.4,26.1,0.0794520547945206,0.005,1544.26,0.106544,0.092867
1565,8.4,29.1,0.0794520547945206,0.005,1544.26,0.103915,0.089339
1570,6.7,32.3,0.0794520547945206,0.005,1544.26,0.101725,0.085449
1575,5.2,35.7,0.0794520547945206,0.005,1544.26,0.099319,0.080538
1580,4,39.5,0.0794520547945206,0.005,1544.26,0.097555,0.075622
1585,3.1,43.4,0.0794520547945206,0.005,1544.26,0.095808,0.067656
1590,2.3,47.7,0.0794520547945206,0.005,1544.26,0.094842,0.055908
