K,C,P,T,rf,S,sigmaCall,sigmaPut
1300,393.3,0,0.0986301369863014,0.005,1697.48,0.282166,0.316015
1325,368.4,0,0.0986301369863014,0.005,1697.48,0.280404,0.299995
1350,343.4,0,0.0986301369863014,0.005,1697.48,0.271482,0.28326
1375,318.5,0.05,0.0986301369863014,0.005,1697.48,0.266369,0.269154
1400,293.6,0.1,0.0986301369863014,0.005,1697.48,0.255833,0.251005
1410,283.7,0.15,0.0986301369863014,0.005,1697.48,0.255612,0.247535
1420,273.7,0.2,0.0986301369863014,0.005,1697.48,0.246741,0.243336
1425,268.8,0.2,0.0986301369863014,0.005,1697.48,0.249253,0.241011
1430,263.8,0.25,0.0986301369863014,0.005,1697.48,0.244755,0.238556
1440,253.9,0.3,0.0986301369863014,0.005,1697.48,0.241631,0.234907
1450,243.9,0.4,0.0986301369863014,0.005,1697.48,0.232541,0.23052
1460,234,0.45,0.0986301369863014,0.005,1697.48,0.228438,0.225536
1470,224.1,0.55,0.0986301369863014,0.005,1697.48,0.223653,0.220056
1475,219.2,0.6,0.0986301369863014,0.005,1697.48,0.223003,0.218739
1480,214.2,0.65,0.0986301369863014,0.005,1697.48,0.218305,0.216161
1490,204.3,0.8,0.0986301369863014,0.005,1697.48,0.21417,0.211495
1500,194.5,0.95,0.0986301369863014,0.005,1697.48,0.209286,0.206974
1505,189.5,1,0.0986301369863014,0.005,1697.48,0.205894,0.204445
1510,184.6,1.1,0.0986301369863014,0.005,1697.48,0.203777,0.201759
1515,179.7,1.2,0.0986301369863014,0.005,1697.48,0.201451,0.19958
1520,174.8,1.3,0.0986301369863014,0.005,1697.48,0.198936,0.197196
1525,169.9,1.4,0.0986301369863014,0.005,1697.48,0.196246,0.194624
1530,165.3,1.5,0.0986301369863014,0.005,1697.48,0.194461,0.192426
1535,160.4,1.65,0.0986301369863014,0.005,1697.48,0.193394,0.19001
1540,155.5,1.8,0.0986301369863014,0.005,1697.48,0.188217,0.187879
