K,C,P,T,rf,S,sigmaCall,sigmaPut
1325,326.3,0.05,0.0794520547945206,0.005,1655.08,0.235661,0.313695
1350,301.4,0.1,0.0794520547945206,0.005,1655.08,0.267184,0.299524
1375,276.6,0.2,0.0794520547945206,0.005,1655.08,0.269402,0.285129
1380,271.6,0.25,0.0794520547945206,0.005,1655.08,0.270346,0.282329
1390,261.7,0.3,0.0794520547945206,0.005,1655.08,0.265547,0.278223
1400,251.8,0.4,0.0794520547945206,0.005,1655.08,0.264116,0.273255
1410,241.8,0.65,0.0794520547945206,0.005,1655.08,0.25767,0.271855
1420,231.9,0.75,0.0794520547945206,0.005,1655.08,0.253933,0.266457
1425,226.8,0.75,0.0794520547945206,0.005,1655.08,0.248768,0.262334
1430,222.1,0.85,0.0794520547945206,0.005,1655.08,0.25178,0.260401
1440,212.2,0.95,0.0794520547945206,0.005,1655.08,0.248175,0.25478
1445,207.3,1,0.0794520547945206,0.005,1655.08,0.244914,0.251243
1450,202.3,1.1,0.0794520547945206,0.005,1655.08,0.241522,0.248491
1455,197.3,1.15,0.0794520547945206,0.005,1655.08,0.238007,0.24555
1460,192.5,1.25,0.0794520547945206,0.005,1655.08,0.23789,0.243231
1465,187.6,1.35,0.0794520547945206,0.005,1655.08,0.235623,0.240666
1470,182.7,1.45,0.0794520547945206,0.005,1655.08,0.2331,0.237877
1475,177.7,1.55,0.0794520547945206,0.005,1655.08,0.228911,0.234884
1480,173,1.65,0.0794520547945206,0.005,1655.08,0.230019,0.232334
1485,168,1.8,0.0794520547945206,0.005,1655.08,0.225482,0.230136
1490,163.2,1.95,0.0794520547945206,0.005,1655.08,0.223261,0.227652
1495,158.3,2.1,0.0794520547945206,0.005,1655.08,0.22075,0.224381
1500,153.5,2.25,0.0794520547945206,0.005,1655.08,0.215865,0.221926
1505,148.6,2.45,0.0794520547945206,0.005,1655.08,0.215945,0.219195
1510,143.9,2.65,0.0794520547945206,0.005,1655.08,0.212658,0.2171
1515,139.1,2.85,0.0794520547945206,0.005,1655.08,0.210047,0.214257
1520,134.4,3.1,0.0794520547945206,0.005,1655.08,0.209605,0.212342
1525,129.6,3.3,0.0794520547945206,0.005,1655.08,0.20556,0.208945
1530,124.8,3.6,0.0794520547945206,0.005,1655.08,0.204274,0.206746
1535,120.2,3.9,0.0794520547945206,0.005,1655.08,0.201169,0.204197
1540,115.5,4.2,0.0794520547945206,0.005,1655.08,0.198446,0.201326
1545,111.5,4.6,0.0794520547945206,0.005,1655.08,0.199641,0.199353
1550,106.9,4.9,0.0794520547945206,0.005,1655.08,0.197241,0.196412
1555,102.4,5.3,0.0794520547945206,0.005,1655.08,0.195007,0.193694
1560,97.8,5.8,0.0794520547945206,0.005,1655.08,0.192378,0.191649
1565,93.3,6.3,0.0794520547945206,0.005,1655.08,0.189862,0.189177
1570,88.9,6.9,0.0794520547945206,0.005,1655.08,0.187413,0.187227
1575,84.5,7.5,0.0794520547945206,0.005,1655.08,0.184988,0.184818
1580,80.2,8.1,0.0794520547945206,0.005,1655.08,0.182551,0.182396
1585,75.9,8.8,0.0794520547945206,0.005,1655.08,0.18007,0.179928
1590,71.7,9.6,0.0794520547945206,0.005,1655.08,0.177897,0.177387
1595,67.5,10.4,0.0794520547945206,0.005,1655.08,0.175228,0.175109
1600,63.5,11.3,0.0794520547945206,0.005,1655.08,0.173135,0.172677
1605,59.5,12.3,0.0794520547945206,0.005,1655.08,0.171181,0.170408
1610,55.5,13.3,0.0794520547945206,0.005,1655.08,0.168014,0.167598
1615,51.7,14.5,0.0794520547945206,0.005,1655.08,0.165602,0.165519
1620,48,15.7,0.0794520547945206,0.005,1655.08,0.162004,0.162845
1625,44.3,17,0.0794520547945206,0.005,1655.08,0.159357,0.160179
1630,40.8,18.4,0.0794520547945206,0.005,1655.08,0.157252,0.15777
1635,37.3,20,0.0794520547945206,0.005,1655.08,0.154479,0.155275
1640,34,21.6,0.0794520547945206,0.005,1655.08,0.152151,0.152659
1645,30.8,23.4,0.0794520547945206,0.005,1655.08,0.149656,0.150162
1650,27.9,25.4,0.0794520547945206,0.005,1655.08,0.147231,0.147738
1655,24.9,27.4,0.0794520547945206,0.005,1655.08,0.144291,0.145075
1660,22.2,29.4,0.0794520547945206,0.005,1655.08,0.141891,0.142132
1665,19.6,31.8,0.0794520547945206,0.005,1655.08,0.139447,0.139696
1670,17.1,34.3,0.0794520547945206,0.005,1655.08,0.136643,0.137184
1675,14.9,36.6,0.0794520547945206,0.005,1655.08,0.134293,0.133399
1680,12.8,39.5,0.0794520547945206,0.005,1655.08,0.13181,0.131191
1685,10.9,42.6,0.0794520547945206,0.005,1655.08,0.129476,0.128835
1690,9.2,45.9,0.0794520547945206,0.005,1655.08,0.127308,0.126636
1695,7.7,49.3,0.0794520547945206,0.005,1655.08,0.125341,0.124277
1700,6.4,52.9,0.0794520547945206,0.005,1655.08,0.123267,0.122125
1705,5.2,56.7,0.0794520547945206,0.005,1655.08,0.121514,0.120274
1710,4.3,60.8,0.0794520547945206,0.005,1655.08,0.12024,0.118883
1715,3.4,64.9,0.0794520547945206,0.005,1655.08,0.118173,0.117174
1720,2.75,69.3,0.0794520547945206,0.005,1655.08,0.117697,0.115719
1725,2.15,73.6,0.0794520547945206,0.005,1655.08,0.116362,0.119273
1730,1.7,78.2,0.0794520547945206,0.005,1655.08,0.115789,0.118395
1735,1.3,82.8,0.0794520547945206,0.005,1655.08,0.114809,0.117829
1740,1.05,87.3,0.0794520547945206,0.005,1655.08,0.115391,0.116959
1745,0.75,92,0.0794520547945206,0.005,1655.08,0.114503,0.116917
1750,0.6,96.7,0.0794520547945206,0.005,1655.08,0.114899,0.118308
1760,0.3,106.5,0.0794520547945206,0.005,1655.08,0.115311,0.120721
1770,0.15,116.4,0.0794520547945206,0.005,1655.08,0.116146,0.126231
1775,0.1,121.3,0.0794520547945206,0.005,1655.08,0.117415,0.11951
1780,0.05,126.2,0.0794520547945206,0.005,1655.08,0.119809,0.126202
1800,0.05,146.1,0.0794520547945206,0.005,1655.08,0.129232,0.136311
1825,0,171,0.0794520547945206,0.005,1655.08,0.141665,0.151443
1850,0,196,0.0794520547945206,0.005,1655.08,0.154914,0.169746
1875,0,221,0.0794520547945206,0.005,1655.08,0.171193,0.18228
