K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,531.5,0.05,0.0986301369863014,0.005,1809.6,0.557325,0.420364
1300,506.6,0.1,0.0986301369863014,0.005,1809.6,0.533903,0.411283
1325,481.6,0.15,0.0986301369863014,0.005,1809.6,0.506847,0.39633
1350,456.7,0.25,0.0986301369863014,0.005,1809.6,0.48368,0.385752
1370,436.8,0.35,0.0986301369863014,0.005,1809.6,0.465788,0.375165
1375,431.8,0.35,0.0986301369863014,0.005,1809.6,0.4605,0.370745
1380,426.8,0.35,0.0986301369863014,0.005,1809.6,0.455225,0.368455
1390,416.8,0.4,0.0986301369863014,0.005,1809.6,0.444717,0.363596
1400,406.8,0.45,0.0986301369863014,0.005,1809.6,0.43426,0.356598
1410,396.9,0.45,0.0986301369863014,0.005,1809.6,0.426841,0.349521
1420,386.9,0.5,0.0986301369863014,0.005,1809.6,0.416429,0.344019
1425,381.9,0.5,0.0986301369863014,0.005,1809.6,0.411241,0.339579
1430,377,0.55,0.0986301369863014,0.005,1809.6,0.408874,0.336726
1440,367,0.6,0.0986301369863014,0.005,1809.6,0.398503,0.330844
1450,357,0.65,0.0986301369863014,0.005,1809.6,0.388175,0.324751
1455,352.1,0.65,0.0986301369863014,0.005,1809.6,0.385642,0.321631
1460,347.1,0.7,0.0986301369863014,0.005,1809.6,0.380479,0.31974
1465,342.1,0.7,0.0986301369863014,0.005,1809.6,0.375325,0.315257
1470,337.1,0.7,0.0986301369863014,0.005,1809.6,0.370181,0.312006
1475,332.2,0.75,0.0986301369863014,0.005,1809.6,0.367504,0.308714
1480,327.2,0.75,0.0986301369863014,0.005,1809.6,0.362354,0.305385
1485,322.2,0.75,0.0986301369863014,0.005,1809.6,0.357213,0.300895
1490,317.3,0.8,0.0986301369863014,0.005,1809.6,0.354412,0.298615
1495,312.3,0.8,0.0986301369863014,0.005,1809.6,0.349264,0.295178
1500,307.3,0.8,0.0986301369863014,0.005,1809.6,0.344123,0.291707
1505,302.4,0.85,0.0986301369863014,0.005,1809.6,0.340102,0.288205
1510,297.4,0.9,0.0986301369863014,0.005,1809.6,0.336054,0.285635
1515,292.4,0.9,0.0986301369863014,0.005,1809.6,0.330912,0.282046
1520,287.5,0.9,0.0986301369863014,0.005,1809.6,0.327877,0.278427
1525,282.5,0.9,0.0986301369863014,0.005,1809.6,0.322726,0.27478
1530,277.5,0.95,0.0986301369863014,0.005,1809.6,0.31758,0.271966
1535,272.6,0.95,0.0986301369863014,0.005,1809.6,0.314433,0.268243
1540,267.6,1,0.0986301369863014,0.005,1809.6,0.309276,0.265303
1545,262.7,1,0.0986301369863014,0.005,1809.6,0.306036,0.26151
1550,257.7,1.1,0.0986301369863014,0.005,1809.6,0.300866,0.259205
1555,252.8,1.15,0.0986301369863014,0.005,1809.6,0.297536,0.256054
1560,247.8,1.2,0.0986301369863014,0.005,1809.6,0.292353,0.25284
1565,242.9,1.2,0.0986301369863014,0.005,1809.6,0.288933,0.249563
1570,238,1.3,0.0986301369863014,0.005,1809.6,0.285447,0.247527
1575,233,1.35,0.0986301369863014,0.005,1809.6,0.280229,0.244094
1580,228.1,1.45,0.0986301369863014,0.005,1809.6,0.276658,0.241209
1585,223.2,1.5,0.0986301369863014,0.005,1809.6,0.273022,0.237652
1590,218.2,1.55,0.0986301369863014,0.005,1809.6,0.267767,0.234608
1595,213.3,1.65,0.0986301369863014,0.005,1809.6,0.264048,0.232017
1600,208.4,1.75,0.0986301369863014,0.005,1809.6,0.260267,0.228787
1605,203.5,1.85,0.0986301369863014,0.005,1809.6,0.256426,0.226473
1610,198.6,1.9,0.0986301369863014,0.005,1809.6,0.252525,0.222578
1615,193.7,2,0.0986301369863014,0.005,1809.6,0.248565,0.21957
1620,188.8,2.15,0.0986301369863014,0.005,1809.6,0.244547,0.216903
1625,183.9,2.2,0.0986301369863014,0.005,1809.6,0.240471,0.214103
1630,179,2.35,0.0986301369863014,0.005,1809.6,0.236339,0.211178
1635,174.2,2.5,0.0986301369863014,0.005,1809.6,0.232766,0.208134
1640,169.3,2.55,0.0986301369863014,0.005,1809.6,0.229103,0.20422
1645,164.4,2.75,0.0986301369863014,0.005,1809.6,0.224187,0.202069
1650,159.6,2.9,0.0986301369863014,0.005,1809.6,0.221512,0.197281
1655,154.7,3.1,0.0986301369863014,0.005,1809.6,0.215938,0.195529
1660,149.9,3.2,0.0986301369863014,0.005,1809.6,0.213576,0.191607
1665,145.1,3.4,0.0986301369863014,0.005,1809.6,0.209997,0.189472
1670,140.3,3.6,0.0986301369863014,0.005,1809.6,0.206303,0.186529
1675,135.5,3.8,0.0986301369863014,0.005,1809.6,0.202496,0.182863
1680,130.7,4.1,0.0986301369863014,0.005,1809.6,0.19811,0.180722
1685,126,4.3,0.0986301369863014,0.005,1809.6,0.195455,0.177825
1690,121.3,4.5,0.0986301369863014,0.005,1809.6,0.191292,0.17425
1695,116.6,4.8,0.0986301369863014,0.005,1809.6,0.188288,0.171496
1700,111.9,5,0.0986301369863014,0.005,1809.6,0.18428,0.168078
1705,107.3,5.4,0.0986301369863014,0.005,1809.6,0.181715,0.165809
1710,102.6,5.7,0.0986301369863014,0.005,1809.6,0.177395,0.162855
