K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,336.4,0.05,0.0849315068493151,0.005,1614.08,0.380904,0.324226
1300,311.5,0.15,0.0849315068493151,0.005,1614.08,0.358536,0.303276
1325,286.6,0.3,0.0849315068493151,0.005,1614.08,0.335532,0.29216
1350,261.7,0.45,0.0849315068493151,0.005,1614.08,0.314045,0.278853
1360,251.8,0.5,0.0849315068493151,0.005,1614.08,0.306693,0.271919
1370,241.9,0.55,0.0849315068493151,0.005,1614.08,0.298994,0.266095
1375,237,0.6,0.0849315068493151,0.005,1614.08,0.296721,0.263648
1380,232,0.65,0.0849315068493151,0.005,1614.08,0.29098,0.262252
1390,222.1,0.8,0.0849315068493151,0.005,1614.08,0.282675,0.258507
1400,212.3,0.9,0.0849315068493151,0.005,1614.08,0.276953,0.252776
1410,202.5,1.15,0.0849315068493151,0.005,1614.08,0.270549,0.249799
1415,197.5,1.2,0.0849315068493151,0.005,1614.08,0.265884,0.246643
1420,192.6,1.3,0.0849315068493151,0.005,1614.08,0.262366,0.244081
1425,187.8,1.4,0.0849315068493151,0.005,1614.08,0.25985,0.241301
1430,182.9,1.5,0.0849315068493151,0.005,1614.08,0.256022,0.238985
1435,178,1.65,0.0849315068493151,0.005,1614.08,0.252074,0.237036
1440,173.1,1.75,0.0849315068493151,0.005,1614.08,0.249013,0.234201
1445,168.3,1.9,0.0849315068493151,0.005,1614.08,0.245758,0.231156
1450,163.4,2.05,0.0849315068493151,0.005,1614.08,0.242322,0.228969
1455,158.6,2.25,0.0849315068493151,0.005,1614.08,0.238714,0.226492
1460,153.8,2.4,0.0849315068493151,0.005,1614.08,0.235778,0.223749
1465,149,2.6,0.0849315068493151,0.005,1614.08,0.232614,0.221646
1470,144.2,2.8,0.0849315068493151,0.005,1614.08,0.229237,0.218808
1475,139.5,3,0.0849315068493151,0.005,1614.08,0.227099,0.215722
1480,134.7,3.3,0.0849315068493151,0.005,1614.08,0.22327,0.213156
1485,130,3.6,0.0849315068493151,0.005,1614.08,0.220574,0.211007
1490,125.3,3.9,0.0849315068493151,0.005,1614.08,0.217593,0.208515
