K,C,P,T,rf,S,sigmaCall,sigmaPut
1590,178.2,1.3,0.0876712328767123,0.005,1771.89,0.139702,0.203011
1595,173.3,1.4,0.0876712328767123,0.005,1771.89,0.147686,0.200566
1600,168.4,1.5,0.0876712328767123,0.005,1771.89,0.151481,0.197934
1605,163.4,1.55,0.0876712328767123,0.005,1771.89,0.150466,0.194573
1610,158.5,1.65,0.0876712328767123,0.005,1771.89,0.151613,0.191636
1615,153.7,1.75,0.0876712328767123,0.005,1771.89,0.153864,0.188546
1620,148.8,1.9,0.0876712328767123,0.005,1771.89,0.153111,0.185791
1625,143.9,2,0.0876712328767123,0.005,1771.89,0.151875,0.182853
1630,139.1,2.15,0.0876712328767123,0.005,1771.89,0.153066,0.180174
1635,134.2,2.3,0.0876712328767123,0.005,1771.89,0.150873,0.177291
1640,129.4,2.45,0.0876712328767123,0.005,1771.89,0.150713,0.174218
1645,124.6,2.65,0.0876712328767123,0.005,1771.89,0.149937,0.171694
1650,119.8,2.85,0.0876712328767123,0.005,1771.89,0.148657,0.168926
1655,115,3.1,0.0876712328767123,0.005,1771.89,0.146952,0.166902
1660,110.3,3.3,0.0876712328767123,0.005,1771.89,0.146425,0.163644
1665,105.6,3.6,0.0876712328767123,0.005,1771.89,0.145331,0.161347
1670,100.9,3.9,0.0876712328767123,0.005,1771.89,0.143756,0.158741
1675,96.2,4.2,0.0876712328767123,0.005,1771.89,0.141762,0.155848
1680,91.6,4.6,0.0876712328767123,0.005,1771.89,0.140507,0.153661
1685,87,5,0.0876712328767123,0.005,1771.89,0.138764,0.151117
1690,82.5,5.4,0.0876712328767123,0.005,1771.89,0.137545,0.148674
1695,78,5.9,0.0876712328767123,0.005,1771.89,0.135809,0.146285
1700,73.6,6.4,0.0876712328767123,0.005,1771.89,0.133608,0.143515
1705,69.2,7.1,0.0876712328767123,0.005,1771.89,0.131768,0.141867
1710,64.8,7.7,0.0876712328767123,0.005,1771.89,0.129812,0.139379
1715,60.6,8.5,0.0876712328767123,0.005,1771.89,0.128063,0.137134
1720,56.4,9.3,0.0876712328767123,0.005,1771.89,0.126108,0.13474
1725,52.4,10.2,0.0876712328767123,0.005,1771.89,0.12456,0.132479
1730,48.4,11.2,0.0876712328767123,0.005,1771.89,0.123012,0.13029
1735,44.5,12.3,0.0876712328767123,0.005,1771.89,0.121131,0.128401
1740,41,13.5,0.0876712328767123,0.005,1771.89,0.119733,0.126193
1745,37.5,14.8,0.0876712328767123,0.005,1771.89,0.117657,0.124176
1750,33.8,16.3,0.0876712328767123,0.005,1771.89,0.115433,0.122034
1755,30.7,17.9,0.0876712328767123,0.005,1771.89,0.114277,0.120228
1760,27.5,19.6,0.0876712328767123,0.005,1771.89,0.112597,0.118204
1765,24.4,21.5,0.0876712328767123,0.005,1771.89,0.11062,0.116415
1770,21.7,23.6,0.0876712328767123,0.005,1771.89,0.109038,0.114816
1775,19,25.9,0.0876712328767123,0.005,1771.89,0.107324,0.112884
1780,16.5,28.4,0.0876712328767123,0.005,1771.89,0.10569,0.111321
1785,14.2,31,0.0876712328767123,0.005,1771.89,0.103858,0.109614
1790,12.1,33.7,0.0876712328767123,0.005,1771.89,0.102314,0.108252
1795,10.2,36.8,0.0876712328767123,0.005,1771.89,0.100806,0.106994
1800,8.6,40,0.0876712328767123,0.005,1771.89,0.099632,0.106425
1805,7.2,43.5,0.0876712328767123,0.005,1771.89,0.098876,0.104892
1810,5.9,47.2,0.0876712328767123,0.005,1771.89,0.097687,0.105111
1815,4.8,51.1,0.0876712328767123,0.005,1771.89,0.096736,0.104784
1820,3.9,55.2,0.0876712328767123,0.005,1771.89,0.095773,0.104957
1825,3.2,59.4,0.0876712328767123,0.005,1771.89,0.095347,0.10584
1830,2.6,63.7,0.0876712328767123,0.005,1771.89,0.09503,0.105973
1835,2.05,68.2,0.0876712328767123,0.005,1771.89,0.094431,0.107134
1840,1.7,72.8,0.0876712328767123,0.005,1771.89,0.094899,0.108673
1845,1.35,77.5,0.0876712328767123,0.005,1771.89,0.094832,0.110773
1850,1.05,82.2,0.0876712328767123,0.005,1771.89,0.094997,0.112444
1855,0.85,86.9,0.0876712328767123,0.005,1771.89,0.095692,0.114292
1860,0.7,91.8,0.0876712328767123,0.005,1771.89,0.096178,0.117126
1865,0.55,96.6,0.0876712328767123,0.005,1771.89,0.096495,0.11897
1870,0.45,101.5,0.0876712328767123,0.005,1771.89,0.097521,0.122054
1875,0.35,106.4,0.0876712328767123,0.005,1771.89,0.097927,0.124964
1880,0.25,111.3,0.0876712328767123,0.005,1771.89,0.098602,0.12858
1890,0.15,121.2,0.0876712328767123,0.005,1771.89,0.100641,0.134561
1900,0.15,131.2,0.0876712328767123,0.005,1771.89,0.105912,0.143111
1910,0.1,141.1,0.0876712328767123,0.005,1771.89,0.110777,0.149375
1925,0.05,156.1,0.0876712328767123,0.005,1771.89,0.115902,0.161655
1950,0,181.1,0.0876712328767123,0.005,1771.89,0.119487,0.181585
