K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,366.2,0.05,0.0767123287671233,0.005,1643.38,0.48313,0.339116
1300,341.3,0.05,0.0767123287671233,0.005,1643.38,0.452988,0.321168
1325,316.3,0.1,0.0767123287671233,0.005,1643.38,0.419423,0.310611
1350,291.4,0.2,0.0767123287671233,0.005,1643.38,0.396395,0.298735
1370,271.5,0.35,0.0767123287671233,0.005,1643.38,0.36964,0.288203
1375,266.6,0.35,0.0767123287671233,0.005,1643.38,0.352145,0.285179
1380,261.6,0.35,0.0767123287671233,0.005,1643.38,0.346039,0.280021
1390,251.4,0.45,0.0767123287671233,0.005,1643.38,0.346121,0.277132
1400,241.5,0.45,0.0767123287671233,0.005,1643.38,0.329329,0.271483
1410,231.8,0.55,0.0767123287671233,0.005,1643.38,0.317004,0.265213
1420,221.6,0.7,0.0767123287671233,0.005,1643.38,0.303306,0.260886
1425,216.7,0.75,0.0767123287671233,0.005,1643.38,0.3102,0.258917
1430,211.7,0.8,0.0767123287671233,0.005,1643.38,0.29377,0.255603
1435,206.8,0.85,0.0767123287671233,0.005,1643.38,0.2863,0.252152
1440,201.8,0.95,0.0767123287671233,0.005,1643.38,0.290119,0.249541
1445,196.9,1,0.0767123287671233,0.005,1643.38,0.286149,0.245801
1450,192,1.05,0.0767123287671233,0.005,1643.38,0.279838,0.241952
1455,187,1.1,0.0767123287671233,0.005,1643.38,0.271293,0.238834
1460,182.1,1.2,0.0767123287671233,0.005,1643.38,0.266126,0.234747
1465,177.2,1.25,0.0767123287671233,0.005,1643.38,0.261975,0.232083
1470,172.3,1.35,0.0767123287671233,0.005,1643.38,0.266524,0.228473
1475,167.4,1.45,0.0767123287671233,0.005,1643.38,0.261847,0.225396
1480,162.5,1.6,0.0767123287671233,0.005,1643.38,0.248842,0.223386
1485,157.6,1.7,0.0767123287671233,0.005,1643.38,0.245162,0.219856
1490,152.7,1.9,0.0767123287671233,0.005,1643.38,0.246424,0.216724
1495,147.8,1.95,0.0767123287671233,0.005,1643.38,0.238956,0.213908
1500,143,2.2,0.0767123287671233,0.005,1643.38,0.235508,0.211336
1505,138.1,2.25,0.0767123287671233,0.005,1643.38,0.230331,0.207997
1510,133.3,2.55,0.0767123287671233,0.005,1643.38,0.223575,0.205334
1515,128.5,2.7,0.0767123287671233,0.005,1643.38,0.222538,0.20237
1520,123.7,2.95,0.0767123287671233,0.005,1643.38,0.220354,0.19913
1525,119,3.2,0.0767123287671233,0.005,1643.38,0.212685,0.196008
1530,114.2,3.4,0.0767123287671233,0.005,1643.38,0.213717,0.192961
1535,109.5,3.6,0.0767123287671233,0.005,1643.38,0.207085,0.190285
1540,104.8,4,0.0767123287671233,0.005,1643.38,0.205467,0.187257
1545,100.2,4.3,0.0767123287671233,0.005,1643.38,0.198587,0.185097
1550,95.6,4.7,0.0767123287671233,0.005,1643.38,0.19836,0.181939
1555,91.1,5.1,0.0767123287671233,0.005,1643.38,0.195089,0.179506
1560,86.5,5.6,0.0767123287671233,0.005,1643.38,0.19101,0.176137
1565,82.2,6,0.0767123287671233,0.005,1643.38,0.184396,0.173371
1570,77.7,6.7,0.0767123287671233,0.005,1643.38,0.181117,0.171532
1575,73.4,7.3,0.0767123287671233,0.005,1643.38,0.178265,0.168723
1580,69.1,7.9,0.0767123287671233,0.005,1643.38,0.175357,0.165857
1585,64.8,8.5,0.0767123287671233,0.005,1643.38,0.171982,0.16251
1590,60.6,9.4,0.0767123287671233,0.005,1643.38,0.16888,0.159818
1595,56.5,10.2,0.0767123287671233,0.005,1643.38,0.16563,0.157294
1600,52.6,11.3,0.0767123287671233,0.005,1643.38,0.162875,0.154529
1605,48.7,12.2,0.0767123287671233,0.005,1643.38,0.160193,0.151828
1610,44.8,13.5,0.0767123287671233,0.005,1643.38,0.155649,0.149452
1615,42.4,14.5,0.0767123287671233,0.005,1643.38,0.157276,0.146088
1620,38.6,16.1,0.0767123287671233,0.005,1643.38,0.153267,0.143858
1625,35.2,17.6,0.0767123287671233,0.005,1643.38,0.150653,0.141162
1630,31.8,19.1,0.0767123287671233,0.005,1643.38,0.147587,0.138264
1635,28.5,20.7,0.0767123287671233,0.005,1643.38,0.144604,0.134831
1640,25.4,22.7,0.0767123287671233,0.005,1643.38,0.141367,0.13194
1645,22.5,24.6,0.0767123287671233,0.005,1643.38,0.138384,0.128959
1650,19.8,26.8,0.0767123287671233,0.005,1643.38,0.135604,0.126109
1655,17.1,29.2,0.0767123287671233,0.005,1643.38,0.132697,0.122762
1660,14.8,31.8,0.0767123287671233,0.005,1643.38,0.129904,0.119715
1665,12.6,34.5,0.0767123287671233,0.005,1643.38,0.127501,0.120023
1670,10.7,37.5,0.0767123287671233,0.005,1643.38,0.124871,0.117362
1675,8.8,40.7,0.0767123287671233,0.005,1643.38,0.121965,0.114334
1680,7.4,44.1,0.0767123287671233,0.005,1643.38,0.120156,0.111593
1685,5.9,47.7,0.0767123287671233,0.005,1643.38,0.117393,0.108827
1690,4.8,51.5,0.0767123287671233,0.005,1643.38,0.115583,0.105613
1695,3.8,54.4,0.0767123287671233,0.005,1643.38,0.113687,0.09675
1700,3,58.5,0.0767123287671233,0.005,1643.38,0.112317,0.091625
1705,2.3,62.8,0.0767123287671233,0.005,1643.38,0.110615,0.084692
1710,1.8,67.7,0.0767123287671233,0.005,1643.38,0.109309,0.082131
1715,1.3,72.5,0.0767123287671233,0.005,1643.38,0.107992,0.074758
