K,C,P,T,rf,S,sigmaCall,sigmaPut
1455,139.6,1.5,0.0794520547945206,0.005,1597.59,0.120948,0.19771
1460,134.7,1.6,0.0794520547945206,0.005,1597.59,0.148258,0.194057
1465,129.9,1.8,0.0794520547945206,0.005,1597.59,0.143253,0.191842
1470,125,1.9,0.0794520547945206,0.005,1597.59,0.145917,0.188257
1475,120.2,2.1,0.0794520547945206,0.005,1597.59,0.148688,0.185882
1480,115.4,2.3,0.0794520547945206,0.005,1597.59,0.149757,0.183141
1485,110.6,2.5,0.0794520547945206,0.005,1597.59,0.148355,0.18007
1490,105.9,2.75,0.0794520547945206,0.005,1597.59,0.149899,0.177467
1495,101.1,3,0.0794520547945206,0.005,1597.59,0.148188,0.174491
1500,96.4,3.3,0.0794520547945206,0.005,1597.59,0.147782,0.17185
1505,91.8,3.6,0.0794520547945206,0.005,1597.59,0.147398,0.169444
1510,87.1,3.9,0.0794520547945206,0.005,1597.59,0.146214,0.166002
1515,82.5,4.4,0.0794520547945206,0.005,1597.59,0.145031,0.163899
1520,77.8,4.8,0.0794520547945206,0.005,1597.59,0.144984,0.161283
1525,73.5,5.3,0.0794520547945206,0.005,1597.59,0.1424,0.158688
1530,69,5.9,0.0794520547945206,0.005,1597.59,0.140858,0.156062
1535,64.7,6.5,0.0794520547945206,0.005,1597.59,0.139118,0.153361
1540,60.4,7.1,0.0794520547945206,0.005,1597.59,0.137597,0.150546
1545,56.1,7.9,0.0794520547945206,0.005,1597.59,0.135357,0.147971
1550,52,8.7,0.0794520547945206,0.005,1597.59,0.13363,0.145175
1555,47.9,9.6,0.0794520547945206,0.005,1597.59,0.131526,0.142839
1560,43.9,10.6,0.0794520547945206,0.005,1597.59,0.129035,0.140165
1565,40.1,11.7,0.0794520547945206,0.005,1597.59,0.127141,0.137459
1570,36.4,12.9,0.0794520547945206,0.005,1597.59,0.124738,0.134662
1575,32.8,14.3,0.0794520547945206,0.005,1597.59,0.122735,0.132324
1580,29.3,15.7,0.0794520547945206,0.005,1597.59,0.120426,0.129159
1585,26,17.4,0.0794520547945206,0.005,1597.59,0.118055,0.127181
1590,22.8,19.2,0.0794520547945206,0.005,1597.59,0.115554,0.124267
1595,19.8,21.2,0.0794520547945206,0.005,1597.59,0.112854,0.122083
1600,17,23.3,0.0794520547945206,0.005,1597.59,0.11045,0.119425
1605,14.3,25.7,0.0794520547945206,0.005,1597.59,0.107702,0.11709
1610,12,28.4,0.0794520547945206,0.005,1597.59,0.105414,0.115337
1615,10,31,0.0794520547945206,0.005,1597.59,0.103583,0.113578
1620,8.1,34.1,0.0794520547945206,0.005,1597.59,0.101607,0.11244
1625,6.6,37.4,0.0794520547945206,0.005,1597.59,0.100167,0.111363
1630,5.2,41,0.0794520547945206,0.005,1597.59,0.098296,0.110404
1635,4.1,44.8,0.0794520547945206,0.005,1597.59,0.097212,0.108874
1640,3.2,48.8,0.0794520547945206,0.005,1597.59,0.095895,0.110527
1645,2.45,53.1,0.0794520547945206,0.005,1597.59,0.095237,0.109898
1650,1.9,57.5,0.0794520547945206,0.005,1597.59,0.09482,0.11302
1655,1.5,62.1,0.0794520547945206,0.005,1597.59,0.095014,0.114499
1660,1.15,67.1,0.0794520547945206,0.005,1597.59,0.095543,0.119858
1665,0.9,71.4,0.0794520547945206,0.005,1597.59,0.095831,0.117517
1670,0.7,76.2,0.0794520547945206,0.005,1597.59,0.096596,0.124865
1675,0.6,81.2,0.0794520547945206,0.005,1597.59,0.099048,0.128025
1680,0.45,86,0.0794520547945206,0.005,1597.59,0.100244,0.131591
1690,0.35,96,0.0794520547945206,0.005,1597.59,0.1051,0.138751
1700,0.25,105.8,0.0794520547945206,0.005,1597.59,0.109489,0.151345
1725,0.1,130.6,0.0794520547945206,0.005,1597.59,0.120216,0.174758
1750,0.05,155.6,0.0794520547945206,0.005,1597.59,0.133857,0.19975
