K,C,P,T,rf,S,sigmaCall,sigmaPut
1350,414,0.1,0.0849315068493151,0.005,1767.69,0.3004,0.353879
1375,389,0.15,0.0849315068493151,0.005,1767.69,0.302947,0.336028
1400,364.1,0.15,0.0849315068493151,0.005,1767.69,0.295464,0.317696
1410,354.1,0.2,0.0849315068493151,0.005,1767.69,0.286796,0.315356
1420,344.1,0.2,0.0849315068493151,0.005,1767.69,0.288179,0.306437
1425,339.1,0.25,0.0849315068493151,0.005,1767.69,0.283812,0.307532
1430,334.2,0.25,0.0849315068493151,0.005,1767.69,0.287349,0.303032
1440,324.2,0.25,0.0849315068493151,0.005,1767.69,0.278531,0.296531
1450,314.2,0.3,0.0849315068493151,0.005,1767.69,0.269764,0.289837
1460,304.3,0.35,0.0849315068493151,0.005,1767.69,0.272809,0.285028
1465,299.3,0.35,0.0849315068493151,0.005,1767.69,0.268337,0.280481
1470,294.3,0.4,0.0849315068493151,0.005,1767.69,0.263876,0.279736
1475,289.3,0.4,0.0849315068493151,0.005,1767.69,0.259425,0.275156
1480,284.3,0.45,0.0849315068493151,0.005,1767.69,0.259663,0.274033
1485,279.4,0.45,0.0849315068493151,0.005,1767.69,0.259374,0.269423
1490,274.4,0.5,0.0849315068493151,0.005,1767.69,0.254845,0.267978
1495,269.4,0.5,0.0849315068493151,0.005,1767.69,0.250325,0.263339
1500,264.4,0.55,0.0849315068493151,0.005,1767.69,0.249528,0.260179
1505,259.5,0.55,0.0849315068493151,0.005,1767.69,0.248378,0.256947
1510,254.5,0.6,0.0849315068493151,0.005,1767.69,0.24379,0.25497
1515,249.5,0.65,0.0849315068493151,0.005,1767.69,0.23921,0.252802
1520,244.6,0.7,0.0849315068493151,0.005,1767.69,0.240567,0.249282
1525,239.6,0.7,0.0849315068493151,0.005,1767.69,0.235919,0.245709
1530,234.6,0.75,0.0849315068493151,0.005,1767.69,0.233921,0.243181
1535,229.7,0.8,0.0849315068493151,0.005,1767.69,0.231727,0.240511
1540,224.7,0.8,0.0849315068493151,0.005,1767.69,0.227022,0.235709
1545,219.7,0.9,0.0849315068493151,0.005,1767.69,0.224619,0.233839
1550,214.8,0.9,0.0849315068493151,0.005,1767.69,0.222056,0.229929
1555,209.8,0.95,0.0849315068493151,0.005,1767.69,0.219346,0.226864
1560,204.9,1,0.0849315068493151,0.005,1767.69,0.2165,0.223693
1565,199.9,1.1,0.0849315068493151,0.005,1767.69,0.21353,0.220422
1570,195,1.15,0.0849315068493151,0.005,1767.69,0.210443,0.217822
