K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,349,0,0.0767123287671233,0.005,1626.73,0.407044,0.338476
1300,324,0.05,0.0767123287671233,0.005,1626.73,0.378062,0.326393
1325,299.3,0.2,0.0767123287671233,0.005,1626.73,0.363757,0.31069
1350,274.3,0.3,0.0767123287671233,0.005,1626.73,0.337045,0.29925
1360,264.2,0.4,0.0767123287671233,0.005,1626.73,0.329947,0.296253
1370,254.5,0.45,0.0767123287671233,0.005,1626.73,0.322424,0.29049
1375,249.5,0.5,0.0767123287671233,0.005,1626.73,0.316527,0.288123
1380,244.4,0.55,0.0767123287671233,0.005,1626.73,0.314523,0.285537
1390,234.5,0.75,0.0767123287671233,0.005,1626.73,0.302664,0.281033
1400,224.8,0.9,0.0767123287671233,0.005,1626.73,0.29772,0.275617
1410,214.8,1,0.0767123287671233,0.005,1626.73,0.287307,0.268459
1420,205,1.15,0.0767123287671233,0.005,1626.73,0.285372,0.263542
1425,200.1,1.25,0.0767123287671233,0.005,1626.73,0.277854,0.260314
1430,195.2,1.3,0.0767123287671233,0.005,1626.73,0.27436,0.256921
1440,185.7,1.55,0.0767123287671233,0.005,1626.73,0.273859,0.251843
1450,175.7,1.8,0.0767123287671233,0.005,1626.73,0.267411,0.247083
1460,166,2.2,0.0767123287671233,0.005,1626.73,0.254448,0.24239
1465,161.2,2.35,0.0767123287671233,0.005,1626.73,0.253616,0.239351
1470,156.7,2.45,0.0767123287671233,0.005,1626.73,0.25145,0.236085
1475,151.6,2.7,0.0767123287671233,0.005,1626.73,0.245623,0.234031
1480,146.8,2.9,0.0767123287671233,0.005,1626.73,0.242201,0.231631
1485,142,3.1,0.0767123287671233,0.005,1626.73,0.240864,0.228496
1490,137.3,3.4,0.0767123287671233,0.005,1626.73,0.236195,0.225916
1495,133,3.6,0.0767123287671233,0.005,1626.73,0.235572,0.223025
1500,127.8,3.9,0.0767123287671233,0.005,1626.73,0.229162,0.220565
1505,123.4,4.2,0.0767123287671233,0.005,1626.73,0.228471,0.217766
1510,118.5,4.5,0.0767123287671233,0.005,1626.73,0.223653,0.215296
1515,113.3,4.9,0.0767123287671233,0.005,1626.73,0.216315,0.212469
1520,108.8,5.3,0.0767123287671233,0.005,1626.73,0.217448,0.20989
1525,105.4,5.8,0.0767123287671233,0.005,1626.73,0.217289,0.208043
1530,100.9,6.2,0.0767123287671233,0.005,1626.73,0.214543,0.204704
1535,96.4,6.7,0.0767123287671233,0.005,1626.73,0.211429,0.202539
1540,91.9,7.3,0.0767123287671233,0.005,1626.73,0.20842,0.199933
1545,87.6,7.9,0.0767123287671233,0.005,1626.73,0.20591,0.197366
1550,83.1,8.5,0.0767123287671233,0.005,1626.73,0.202139,0.194801
1555,78.9,9.1,0.0767123287671233,0.005,1626.73,0.199633,0.191793
1560,74.7,9.9,0.0767123287671233,0.005,1626.73,0.196672,0.189546
1565,70.6,10.7,0.0767123287671233,0.005,1626.73,0.194017,0.186799
1570,66.4,11.6,0.0767123287671233,0.005,1626.73,0.190887,0.184301
1575,62.4,12.5,0.0767123287671233,0.005,1626.73,0.188333,0.181637
1580,58.5,13.6,0.0767123287671233,0.005,1626.73,0.18593,0.179128
1585,54.5,14.8,0.0767123287671233,0.005,1626.73,0.182654,0.177046
1590,51,15.9,0.0767123287671233,0.005,1626.73,0.179807,0.174045
1595,47.3,17.3,0.0767123287671233,0.005,1626.73,0.177007,0.171709
1600,43.7,18.5,0.0767123287671233,0.005,1626.73,0.174215,0.168438
1605,40,20,0.0767123287671233,0.005,1626.73,0.170799,0.165732
1610,36.6,21.7,0.0767123287671233,0.005,1626.73,0.167913,0.163225
1615,33.3,23.4,0.0767123287671233,0.005,1626.73,0.164917,0.160292
1620,30.2,25.2,0.0767123287671233,0.005,1626.73,0.162059,0.157476
1625,27.5,27.2,0.0767123287671233,0.005,1626.73,0.160429,0.154732
1630,24.7,29,0.0767123287671233,0.005,1626.73,0.156299,0.15088
1635,21.9,31.3,0.0767123287671233,0.005,1626.73,0.153317,0.148721
1640,19.4,33.7,0.0767123287671233,0.005,1626.73,0.15089,0.145944
1645,17,36.3,0.0767123287671233,0.005,1626.73,0.14783,0.142783
1650,14.8,38.8,0.0767123287671233,0.005,1626.73,0.145279,0.139783
1655,12.8,41.8,0.0767123287671233,0.005,1626.73,0.14263,0.136929
1660,10.9,44.8,0.0767123287671233,0.005,1626.73,0.139856,0.133549
1665,9.2,48.1,0.0767123287671233,0.005,1626.73,0.137276,0.130954
1670,7.7,51.5,0.0767123287671233,0.005,1626.73,0.134559,0.127398
1675,6.4,55.2,0.0767123287671233,0.005,1626.73,0.132491,0.125152
1680,5.2,59,0.0767123287671233,0.005,1626.73,0.12997,0.121883
1685,4.2,62.9,0.0767123287671233,0.005,1626.73,0.127883,0.118322
1690,3.4,67.1,0.0767123287671233,0.005,1626.73,0.125926,0.122117
1695,2.75,71.3,0.0767123287671233,0.005,1626.73,0.124871,0.119933
1700,2.15,75.5,0.0767123287671233,0.005,1626.73,0.123162,0.109239
1705,1.7,80,0.0767123287671233,0.005,1626.73,0.121446,0.106645
1710,1.3,84.6,0.0767123287671233,0.005,1626.73,0.119927,0.104167
1715,1,89.3,0.0767123287671233,0.005,1626.73,0.12007,0.107508
1720,0.75,94,0.0767123287671233,0.005,1626.73,0.119137,0.103033
