K,C,P,T,rf,S,sigmaCall,sigmaPut
1370,260.2,0.3,0.0876712328767123,0.005,1633.77,0.192543,0.263004
1375,255.3,0.3,0.0876712328767123,0.005,1633.77,0.209697,0.258164
1380,250.3,0.35,0.0876712328767123,0.005,1633.77,0.205389,0.256924
1390,240.3,0.4,0.0876712328767123,0.005,1633.77,0.20804,0.248832
1400,230.4,0.45,0.0876712328767123,0.005,1633.77,0.21355,0.242124
1410,220.5,0.55,0.0876712328767123,0.005,1633.77,0.20969,0.237734
1420,210.5,0.6,0.0876712328767123,0.005,1633.77,0.204921,0.230188
1425,205.6,0.65,0.0876712328767123,0.005,1633.77,0.207718,0.227458
1430,200.6,0.7,0.0876712328767123,0.005,1633.77,0.202946,0.224564
1440,190.7,0.8,0.0876712328767123,0.005,1633.77,0.19942,0.218332
1450,180.8,0.9,0.0876712328767123,0.005,1633.77,0.197126,0.212439
1460,171,1,0.0876712328767123,0.005,1633.77,0.193318,0.205153
1470,161.1,1.15,0.0876712328767123,0.005,1633.77,0.188392,0.199564
1475,156.2,1.25,0.0876712328767123,0.005,1633.77,0.186364,0.196799
1480,151.3,1.35,0.0876712328767123,0.005,1633.77,0.184033,0.193823
1490,141.5,1.6,0.0876712328767123,0.005,1633.77,0.178596,0.187844
1500,131.8,1.85,0.0876712328767123,0.005,1633.77,0.174456,0.18156
1510,122.2,2.15,0.0876712328767123,0.005,1633.77,0.169983,0.175776
1520,112.6,2.6,0.0876712328767123,0.005,1633.77,0.165064,0.170911
1525,107.8,2.8,0.0876712328767123,0.005,1633.77,0.162878,0.167999
1530,103.1,3,0.0876712328767123,0.005,1633.77,0.160318,0.165131
1540,93.7,3.7,0.0876712328767123,0.005,1633.77,0.155426,0.160252
1550,84.5,4.4,0.0876712328767123,0.005,1633.77,0.151224,0.154958
1560,75.5,5.4,0.0876712328767123,0.005,1633.77,0.1467,0.15001
1570,66.7,6.5,0.0876712328767123,0.005,1633.77,0.142448,0.144993
1575,62.4,7.2,0.0876712328767123,0.005,1633.77,0.139554,0.142741
1580,58.2,8,0.0876712328767123,0.005,1633.77,0.137661,0.140681
1590,50,9.7,0.0876712328767123,0.005,1633.77,0.13344,0.135856
1600,42.2,11.8,0.0876712328767123,0.005,1633.77,0.128934,0.131162
1610,34.9,14.5,0.0876712328767123,0.005,1633.77,0.124633,0.126722
1620,28.2,17.6,0.0876712328767123,0.005,1633.77,0.119794,0.122335
1625,25,19.5,0.0876712328767123,0.005,1633.77,0.117747,0.120256
1630,22.1,21.5,0.0876712328767123,0.005,1633.77,0.115862,0.118358
1640,16.7,26.1,0.0876712328767123,0.005,1633.77,0.111857,0.114388
1650,12.3,31.6,0.0876712328767123,0.005,1633.77,0.108833,0.111498
1660,8.7,37.8,0.0876712328767123,0.005,1633.77,0.105932,0.108554
1670,6.1,44.9,0.0876712328767123,0.005,1633.77,0.10473,0.107032
1675,5.1,48.8,0.0876712328767123,0.005,1633.77,0.104401,0.106899
1680,4.2,52.9,0.0876712328767123,0.005,1633.77,0.103744,0.106896
1690,2.75,61.4,0.0876712328767123,0.005,1633.77,0.10328,0.106912
1700,1.75,70.3,0.0876712328767123,0.005,1633.77,0.102741,0.107068
1710,1.15,79.7,0.0876712328767123,0.005,1633.77,0.10453,0.10881
1720,0.7,89.2,0.0876712328767123,0.005,1633.77,0.105904,0.110926
1725,0.55,94.1,0.0876712328767123,0.005,1633.77,0.106871,0.112554
1730,0.55,99,0.0876712328767123,0.005,1633.77,0.109996,0.114887
1740,0.35,108.8,0.0876712328767123,0.005,1633.77,0.113188,0.119954
1750,0.2,118.7,0.0876712328767123,0.005,1633.77,0.116515,0.125578
1775,0.1,143.5,0.0876712328767123,0.005,1633.77,0.129233,0.138388
1800,0.05,168.4,0.0876712328767123,0.005,1633.77,0.136879,0.152384
