K,C,P,T,rf,S,sigmaCall,sigmaPut
1175,391.4,0,0.0986301369863014,0.005,1569.19,0.449489,0.33693
1200,366.5,0,0.0986301369863014,0.005,1569.19,0.422821,0.314282
1225,341.6,0,0.0986301369863014,0.005,1569.19,0.398455,0.297488
1250,316.6,0.05,0.0986301369863014,0.005,1569.19,0.371902,0.283826
1275,291.7,0.1,0.0986301369863014,0.005,1569.19,0.34726,0.270969
1300,266.9,0.2,0.0986301369863014,0.005,1569.19,0.323984,0.257649
1310,256.9,0.25,0.0986301369863014,0.005,1569.19,0.314204,0.252286
1320,247,0.3,0.0986301369863014,0.005,1569.19,0.305812,0.248125
1325,242,0.35,0.0986301369863014,0.005,1569.19,0.300127,0.246519
1330,237.1,0.4,0.0986301369863014,0.005,1569.19,0.297214,0.243173
1340,227.1,0.5,0.0986301369863014,0.005,1569.19,0.287123,0.238894
1350,217.2,0.55,0.0986301369863014,0.005,1569.19,0.278211,0.232649
1360,207.3,0.7,0.0986301369863014,0.005,1569.19,0.269113,0.228058
1370,197.7,0.8,0.0986301369863014,0.005,1569.19,0.263092,0.222674
1375,192.5,0.85,0.0986301369863014,0.005,1569.19,0.256198,0.219296
1380,187.6,0.95,0.0986301369863014,0.005,1569.19,0.25142,0.216633
1390,178,1.1,0.0986301369863014,0.005,1569.19,0.245578,0.210768
1400,167.9,1.3,0.0986301369863014,0.005,1569.19,0.234625,0.20558
1410,158.4,1.5,0.0986301369863014,0.005,1569.19,0.229459,0.199585
1420,148.4,1.75,0.0986301369863014,0.005,1569.19,0.218084,0.19445
1425,143.5,1.85,0.0986301369863014,0.005,1569.19,0.21425,0.190802
1430,138.7,2,0.0986301369863014,0.005,1569.19,0.210275,0.187941
1440,129,2.35,0.0986301369863014,0.005,1569.19,0.201916,0.182789
1450,119.5,2.75,0.0986301369863014,0.005,1569.19,0.194876,0.176967
1460,110,3.2,0.0986301369863014,0.005,1569.19,0.187608,0.171148
1470,100.6,3.8,0.0986301369863014,0.005,1569.19,0.180536,0.165717
1475,95.9,4.1,0.0986301369863014,0.005,1569.19,0.176641,0.162531
1480,91.8,4.4,0.0986301369863014,0.005,1569.19,0.175294,0.159573
1490,82.7,5.3,0.0986301369863014,0.005,1569.19,0.168277,0.154075
1500,73.7,6.2,0.0986301369863014,0.005,1569.19,0.161235,0.148364
1510,64.9,7.4,0.0986301369863014,0.005,1569.19,0.154287,0.142208
1520,56.4,8.9,0.0986301369863014,0.005,1569.19,0.147463,0.136757
1525,52.3,9.7,0.0986301369863014,0.005,1569.19,0.144184,0.133921
1530,48.2,10.6,0.0986301369863014,0.005,1569.19,0.14072,0.130853
1540,40.4,12.7,0.0986301369863014,0.005,1569.19,0.134243,0.124768
1550,33.1,15.2,0.0986301369863014,0.005,1569.19,0.127845,0.118618
1560,26.3,18.2,0.0986301369863014,0.005,1569.19,0.121832,0.113192
1570,20.1,21.8,0.0986301369863014,0.005,1569.19,0.115421,0.106335
1575,17.3,24.1,0.0986301369863014,0.005,1569.19,0.111997,0.10361
1580,14.7,26.4,0.0986301369863014,0.005,1569.19,0.109119,0.100296
1590,10.2,31.8,0.0986301369863014,0.005,1569.19,0.103509,0.094533
1600,6.7,38.1,0.0986301369863014,0.005,1569.19,0.098696,0.087612
1610,4,45.4,0.0986301369863014,0.005,1569.19,0.093869,0.081055
1620,2.4,53.6,0.0986301369863014,0.005,1569.19,0.091144,0.072683
1625,1.75,57.9,0.0986301369863014,0.005,1569.19,0.089842,0.061425
1630,1.3,62.6,0.0986301369863014,0.005,1569.19,0.089636,0.052218
