K,C,P,T,rf,S,sigmaCall,sigmaPut
1200,378.9,0,0.0958904109589041,0.005,1582.24,0.346024,0.333775
1225,354,0.05,0.0958904109589041,0.005,1582.24,0.336128,0.315907
1250,329,0.1,0.0958904109589041,0.005,1582.24,0.317162,0.304772
1275,304.1,0.15,0.0958904109589041,0.005,1582.24,0.297468,0.287532
1300,279.2,0.25,0.0958904109589041,0.005,1582.24,0.284739,0.273687
1325,254.4,0.45,0.0958904109589041,0.005,1582.24,0.268927,0.260685
1330,249.4,0.45,0.0958904109589041,0.005,1582.24,0.263853,0.257365
1340,239.5,0.55,0.0958904109589041,0.005,1582.24,0.258877,0.253261
1350,229.6,0.65,0.0958904109589041,0.005,1582.24,0.253246,0.24711
1360,219.7,0.7,0.0958904109589041,0.005,1582.24,0.247065,0.240516
1370,209.8,0.8,0.0958904109589041,0.005,1582.24,0.240409,0.234549
1375,204.9,0.9,0.0958904109589041,0.005,1582.24,0.238648,0.232315
1380,200,0.95,0.0958904109589041,0.005,1582.24,0.234992,0.228966
1390,190.1,1.1,0.0958904109589041,0.005,1582.24,0.228907,0.223566
1400,180.3,1.3,0.0958904109589041,0.005,1582.24,0.223577,0.218897
1410,170.5,1.45,0.0958904109589041,0.005,1582.24,0.217495,0.212716
1420,160.7,1.7,0.0958904109589041,0.005,1582.24,0.211836,0.207057
1425,155.8,1.8,0.0958904109589041,0.005,1582.24,0.208204,0.204204
1430,151,1.95,0.0958904109589041,0.005,1582.24,0.205406,0.201146
1440,141.3,2.25,0.0958904109589041,0.005,1582.24,0.200032,0.195836
1450,131.7,2.6,0.0958904109589041,0.005,1582.24,0.193731,0.189995
1460,122.1,3,0.0958904109589041,0.005,1582.24,0.18801,0.184346
1470,112.6,3.5,0.0958904109589041,0.005,1582.24,0.181925,0.178666
1475,107.9,3.8,0.0958904109589041,0.005,1582.24,0.179092,0.176023
1480,103.4,4.1,0.0958904109589041,0.005,1582.24,0.177077,0.173066
1490,94.1,4.8,0.0958904109589041,0.005,1582.24,0.170907,0.16732
1500,85,5.7,0.0958904109589041,0.005,1582.24,0.165372,0.162171
1510,76.1,6.7,0.0958904109589041,0.005,1582.24,0.160061,0.156782
1520,67.4,8,0.0958904109589041,0.005,1582.24,0.15465,0.151695
1525,63.1,8.7,0.0958904109589041,0.005,1582.24,0.151646,0.14883
1530,59,9.5,0.0958904109589041,0.005,1582.24,0.149212,0.146188
1540,50.8,11.3,0.0958904109589041,0.005,1582.24,0.143127,0.140978
1550,43.1,13.5,0.0958904109589041,0.005,1582.24,0.137633,0.135644
1560,35.7,16.1,0.0958904109589041,0.005,1582.24,0.131692,0.130099
1570,28.9,19.2,0.0958904109589041,0.005,1582.24,0.126267,0.125009
1575,25.7,21,0.0958904109589041,0.005,1582.24,0.123591,0.122352
1580,22.6,22.9,0.0958904109589041,0.005,1582.24,0.120606,0.119377
1590,17.1,27.2,0.0958904109589041,0.005,1582.24,0.115303,0.113803
1600,12.4,32.5,0.0958904109589041,0.005,1582.24,0.110503,0.108932
1610,8.6,38.5,0.0958904109589041,0.005,1582.24,0.105996,0.10427
1620,5.7,45.4,0.0958904109589041,0.005,1582.24,0.102518,0.099795
1625,4.6,49.1,0.0958904109589041,0.005,1582.24,0.100982,0.097171
1630,3.7,53.3,0.0958904109589041,0.005,1582.24,0.099744,0.096842
1640,2.25,61.9,0.0958904109589041,0.005,1582.24,0.097814,0.094331
1650,1.45,71.1,0.0958904109589041,0.005,1582.24,0.098109,0.093066
1660,0.85,80.5,0.0958904109589041,0.005,1582.24,0.098669,0.090347
1670,0.5,90.2,0.0958904109589041,0.005,1582.24,0.100394,0.089301
1675,0.45,95.2,0.0958904109589041,0.005,1582.24,0.102652,0.091139
1680,0.4,100.1,0.0958904109589041,0.005,1582.24,0.104569,0.089551
