K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,385.4,0.05,0.0958904109589041,0.005,1663.5,0.380042,0.330157
1300,360.5,0.1,0.0958904109589041,0.005,1663.5,0.361736,0.315701
1325,335.6,0.15,0.0958904109589041,0.005,1663.5,0.342524,0.30251
1350,310.7,0.2,0.0958904109589041,0.005,1663.5,0.322575,0.282526
1375,285.8,0.35,0.0958904109589041,0.005,1663.5,0.304168,0.273984
1400,261,0.55,0.0958904109589041,0.005,1663.5,0.286491,0.262432
1410,251.1,0.65,0.0958904109589041,0.005,1663.5,0.279676,0.257767
1420,241.2,0.75,0.0958904109589041,0.005,1663.5,0.27256,0.251431
1425,236.3,0.8,0.0958904109589041,0.005,1663.5,0.268898,0.248646
1430,231.3,0.85,0.0958904109589041,0.005,1663.5,0.265171,0.245738
1440,221.5,0.95,0.0958904109589041,0.005,1663.5,0.260228,0.240465
1450,211.6,1.1,0.0958904109589041,0.005,1663.5,0.252181,0.235425
1460,201.8,1.25,0.0958904109589041,0.005,1663.5,0.246241,0.22976
1465,196.9,1.35,0.0958904109589041,0.005,1663.5,0.241967,0.227395
1470,192,1.45,0.0958904109589041,0.005,1663.5,0.238717,0.224839
1475,187.1,1.55,0.0958904109589041,0.005,1663.5,0.235347,0.222108
1480,182.2,1.65,0.0958904109589041,0.005,1663.5,0.232841,0.219213
1485,177.3,1.8,0.0958904109589041,0.005,1663.5,0.22921,0.217256
1490,172.4,1.9,0.0958904109589041,0.005,1663.5,0.225475,0.214018
1495,167.6,2.05,0.0958904109589041,0.005,1663.5,0.223365,0.211633
1500,162.7,2.2,0.0958904109589041,0.005,1663.5,0.219374,0.209493
1505,157.9,2.35,0.0958904109589041,0.005,1663.5,0.216871,0.206668
1510,153.1,2.55,0.0958904109589041,0.005,1663.5,0.213403,0.20449
1515,148.3,2.7,0.0958904109589041,0.005,1663.5,0.210514,0.201269
1520,143.5,2.9,0.0958904109589041,0.005,1663.5,0.207431,0.198639
1525,138.7,3.1,0.0958904109589041,0.005,1663.5,0.204165,0.196497
1530,133.9,3.3,0.0958904109589041,0.005,1663.5,0.201351,0.193404
1535,129.2,3.6,0.0958904109589041,0.005,1663.5,0.198317,0.191397
1540,124.5,3.9,0.0958904109589041,0.005,1663.5,0.195644,0.189082
1545,119.8,4.1,0.0958904109589041,0.005,1663.5,0.192723,0.18591
1550,115.1,4.5,0.0958904109589041,0.005,1663.5,0.189565,0.18362
1555,110.5,4.8,0.0958904109589041,0.005,1663.5,0.187177,0.180507
1560,105.9,5.2,0.0958904109589041,0.005,1663.5,0.184486,0.178148
1565,101.3,5.6,0.0958904109589041,0.005,1663.5,0.181511,0.175472
1570,96.8,6,0.0958904109589041,0.005,1663.5,0.178697,0.172945
1575,92.3,6.5,0.0958904109589041,0.005,1663.5,0.175999,0.170946
1580,87.8,7.1,0.0958904109589041,0.005,1663.5,0.173378,0.168562
1585,83.4,7.7,0.0958904109589041,0.005,1663.5,0.170797,0.165816
1590,79.1,8.3,0.0958904109589041,0.005,1663.5,0.168223,0.163835
1595,74.8,9,0.0958904109589041,0.005,1663.5,0.165626,0.16143
1600,70.6,9.7,0.0958904109589041,0.005,1663.5,0.16298,0.15896
1605,66.4,10.6,0.0958904109589041,0.005,1663.5,0.160259,0.156724
1610,62.3,11.4,0.0958904109589041,0.005,1663.5,0.157748,0.15404
1615,58.3,12.4,0.0958904109589041,0.005,1663.5,0.155391,0.151822
1620,54.4,13.4,0.0958904109589041,0.005,1663.5,0.152851,0.149116
1625,50.8,14.6,0.0958904109589041,0.005,1663.5,0.150949,0.146776
1630,46.8,15.8,0.0958904109589041,0.005,1663.5,0.147965,0.144186
1635,43.1,17.1,0.0958904109589041,0.005,1663.5,0.145271,0.141858
