K,C,P,T,rf,S,sigmaCall,sigmaPut
1530,156.6,1.05,0.0794520547945206,0.005,1690.25,0.107746,0.196175
1535,151.7,1.15,0.0794520547945206,0.005,1690.25,0.134797,0.193519
1540,146.8,1.3,0.0794520547945206,0.005,1690.25,0.141369,0.19126
1545,141.9,1.35,0.0794520547945206,0.005,1690.25,0.147352,0.187527
1550,137,1.5,0.0794520547945206,0.005,1690.25,0.147903,0.184788
1555,132.2,1.6,0.0794520547945206,0.005,1690.25,0.137932,0.181803
1560,127.3,1.8,0.0794520547945206,0.005,1690.25,0.140462,0.179575
1565,122.5,1.95,0.0794520547945206,0.005,1690.25,0.143127,0.176558
1570,117.7,2.15,0.0794520547945206,0.005,1690.25,0.149604,0.174161
1575,112.9,2.35,0.0794520547945206,0.005,1690.25,0.142927,0.171435
1580,108.1,2.5,0.0794520547945206,0.005,1690.25,0.14338,0.168409
1585,103.4,2.85,0.0794520547945206,0.005,1690.25,0.142924,0.166869
1590,98.7,3.1,0.0794520547945206,0.005,1690.25,0.142628,0.1642
1595,94,3.4,0.0794520547945206,0.005,1690.25,0.141585,0.161494
1600,89.3,3.7,0.0794520547945206,0.005,1690.25,0.138486,0.158432
1605,84.7,4,0.0794520547945206,0.005,1690.25,0.13774,0.155584
1610,80.2,4.5,0.0794520547945206,0.005,1690.25,0.13749,0.153386
1615,75.7,4.9,0.0794520547945206,0.005,1690.25,0.13591,0.150723
1620,71.5,5.5,0.0794520547945206,0.005,1690.25,0.13624,0.148531
1625,67.2,6.1,0.0794520547945206,0.005,1690.25,0.135222,0.146261
1630,62.8,6.8,0.0794520547945206,0.005,1690.25,0.133509,0.144276
1635,58.6,7.5,0.0794520547945206,0.005,1690.25,0.131968,0.141724
1640,54.5,8.3,0.0794520547945206,0.005,1690.25,0.130883,0.139357
1645,50.3,9.2,0.0794520547945206,0.005,1690.25,0.128001,0.137096
1650,46.3,10.2,0.0794520547945206,0.005,1690.25,0.126886,0.134873
1655,42.5,11.3,0.0794520547945206,0.005,1690.25,0.125944,0.13294
1660,38.7,12.5,0.0794520547945206,0.005,1690.25,0.123274,0.130906
1665,35.2,13.8,0.0794520547945206,0.005,1690.25,0.121361,0.128439
1670,31.7,15.3,0.0794520547945206,0.005,1690.25,0.119212,0.126367
1675,28.4,16.9,0.0794520547945206,0.005,1690.25,0.117893,0.12405
1680,25.2,18.6,0.0794520547945206,0.005,1690.25,0.115393,0.122263
1685,22.2,20.6,0.0794520547945206,0.005,1690.25,0.113589,0.120393
1690,19.4,22.7,0.0794520547945206,0.005,1690.25,0.111605,0.1184
1695,16.8,25.1,0.0794520547945206,0.005,1690.25,0.109663,0.116778
1700,14.4,27.6,0.0794520547945206,0.005,1690.25,0.107995,0.114958
1705,12.2,30.2,0.0794520547945206,0.005,1690.25,0.106025,0.112621
1710,10.2,33.2,0.0794520547945206,0.005,1690.25,0.104289,0.111148
1715,8.5,36.4,0.0794520547945206,0.005,1690.25,0.102816,0.110029
1720,6.9,39.8,0.0794520547945206,0.005,1690.25,0.10134,0.109018
1725,5.7,43.4,0.0794520547945206,0.005,1690.25,0.100626,0.10818
1730,4.6,47.2,0.0794520547945206,0.005,1690.25,0.099379,0.107613
1735,3.5,51.3,0.0794520547945206,0.005,1690.25,0.097964,0.108282
1740,2.85,55.2,0.0794520547945206,0.005,1690.25,0.097693,0.10664
1745,2.25,59.5,0.0794520547945206,0.005,1690.25,0.097226,0.10749
1750,1.75,64,0.0794520547945206,0.005,1690.25,0.096653,0.109598
1755,1.35,68.6,0.0794520547945206,0.005,1690.25,0.097269,0.111091
1760,1,73.2,0.0794520547945206,0.005,1690.25,0.097264,0.112528
1765,0.8,78,0.0794520547945206,0.005,1690.25,0.098047,0.114705
1770,0.6,82.8,0.0794520547945206,0.005,1690.25,0.09906,0.117155
1775,0.5,87.7,0.0794520547945206,0.005,1690.25,0.099915,0.12084
1780,0.35,92.6,0.0794520547945206,0.005,1690.25,0.100696,0.124325
1785,0.25,97.5,0.0794520547945206,0.005,1690.25,0.101543,0.127607
1790,0.2,102.4,0.0794520547945206,0.005,1690.25,0.102674,0.130677
1795,0.1,107.4,0.0794520547945206,0.005,1690.25,0.103105,0.135563
1800,0.05,112.3,0.0794520547945206,0.005,1690.25,0.105661,0.138317
1810,0,122.3,0.0794520547945206,0.005,1690.25,0.108245,0.147774
1820,0,132.2,0.0794520547945206,0.005,1690.25,0.115629,0.154701
1825,0.05,137.2,0.0794520547945206,0.005,1690.25,0.119284,0.159249
1830,0,142.2,0.0794520547945206,0.005,1690.25,0.120632,0.163763
1850,0,162.1,0.0794520547945206,0.005,1690.25,0.131922,0.178717
1875,0,187.1,0.0794520547945206,0.005,1690.25,0.1354,0.200011
1900,0,212,0.0794520547945206,0.005,1690.25,0.150649,0.217277
