K,C,P,T,rf,S,sigmaCall,sigmaPut
1275,403.3,0,0.063013698630137,0.005,1680.91,0.474014,0.352323
1300,378.3,0,0.063013698630137,0.005,1680.91,0.443769,0.329107
1325,353.3,0.05,0.063013698630137,0.005,1680.91,0.413969,0.336571
1350,328.4,0,0.063013698630137,0.005,1680.91,0.393771,0.312114
1360,318.4,0,0.063013698630137,0.005,1680.91,0.381913,0.302424
1370,308.4,0.05,0.063013698630137,0.005,1680.91,0.370113,0.301039
1375,303.4,0.05,0.063013698630137,0.005,1680.91,0.364234,0.31378
1380,298.4,0.05,0.063013698630137,0.005,1680.91,0.358368,0.297856
1390,288.4,0.1,0.063013698630137,0.005,1680.91,0.338337,0.298365
1400,278.5,0.1,0.063013698630137,0.005,1680.91,0.331099,0.288147
1410,268.5,0.1,0.063013698630137,0.005,1680.91,0.330525,0.282149
1415,263.5,0.15,0.063013698630137,0.005,1680.91,0.324651,0.280773
1420,258.5,0.15,0.063013698630137,0.005,1680.91,0.318788,0.275591
1425,253.5,0.15,0.063013698630137,0.005,1680.91,0.306147,0.27042
1430,248.6,0.2,0.063013698630137,0.005,1680.91,0.313182,0.27166
1435,243.6,0.2,0.063013698630137,0.005,1680.91,0.298047,0.266405
1440,238.6,0.2,0.063013698630137,0.005,1680.91,0.301352,0.26116
1445,233.6,0.25,0.063013698630137,0.005,1680.91,0.295451,0.261287
1450,228.6,0.25,0.063013698630137,0.005,1680.91,0.289558,0.25597
1455,223.7,0.25,0.063013698630137,0.005,1680.91,0.288884,0.253049
1460,218.7,0.3,0.063013698630137,0.005,1680.91,0.275076,0.249942
1465,213.7,0.3,0.063013698630137,0.005,1680.91,0.271926,0.246668
1470,208.8,0.35,0.063013698630137,0.005,1680.91,0.268594,0.245142
1475,203.8,0.4,0.063013698630137,0.005,1680.91,0.269645,0.241474
1480,198.8,0.4,0.063013698630137,0.005,1680.91,0.263636,0.237686
1485,193.9,0.5,0.063013698630137,0.005,1680.91,0.261766,0.236883
1490,188.9,0.5,0.063013698630137,0.005,1680.91,0.255694,0.231279
1495,183.9,0.55,0.063013698630137,0.005,1680.91,0.245632,0.228496
1500,179,0.6,0.063013698630137,0.005,1680.91,0.247266,0.22547
1505,174,0.65,0.063013698630137,0.005,1680.91,0.241133,0.222225
1510,169.1,0.7,0.063013698630137,0.005,1680.91,0.233238,0.218781
1515,164.2,0.75,0.063013698630137,0.005,1680.91,0.233812,0.21621
1520,159.2,0.8,0.063013698630137,0.005,1680.91,0.229126,0.21236
1525,154.3,0.85,0.063013698630137,0.005,1680.91,0.225801,0.209287
1530,149.4,0.95,0.063013698630137,0.005,1680.91,0.218051,0.205965
1535,144.4,1.05,0.063013698630137,0.005,1680.91,0.213145,0.203223
1540,139.5,1.1,0.063013698630137,0.005,1680.91,0.212027,0.19942
1545,134.6,1.2,0.063013698630137,0.005,1680.91,0.20557,0.196138
1550,129.7,1.35,0.063013698630137,0.005,1680.91,0.203781,0.193254
1555,124.9,1.45,0.063013698630137,0.005,1680.91,0.201519,0.190048
1560,120,1.6,0.063013698630137,0.005,1680.91,0.191675,0.18655
1565,115.2,1.7,0.063013698630137,0.005,1680.91,0.191067,0.182784
1570,110.4,1.9,0.063013698630137,0.005,1680.91,0.187965,0.180275
1575,105.6,2.05,0.063013698630137,0.005,1680.91,0.181926,0.176877
1580,100.8,2.3,0.063013698630137,0.005,1680.91,0.180745,0.174024
1585,96,2.55,0.063013698630137,0.005,1680.91,0.177428,0.171163
1590,91.3,2.8,0.063013698630137,0.005,1680.91,0.173742,0.16825
1595,86.6,3.1,0.063013698630137,0.005,1680.91,0.166324,0.165248
1600,82,3.5,0.063013698630137,0.005,1680.91,0.163443,0.163093
1605,77.4,3.8,0.063013698630137,0.005,1680.91,0.160678,0.159757
1610,72.8,4.3,0.063013698630137,0.005,1680.91,0.157951,0.157098
1615,68.3,4.8,0.063013698630137,0.005,1680.91,0.155197,0.154929
1620,63.9,5.4,0.063013698630137,0.005,1680.91,0.152359,0.152113
